region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.707880
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.700238
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.614980
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.631176
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.586544
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.537886
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.519085
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.533048
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.505276
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.531915
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.538350
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.646131
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.552903
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.564313
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.510283
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.582085
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.564404
(312,431)(202400,249999)(200000,250000)	chr01	225000	121	0.687498
(337,468)(214936,258347)(210000,260000)	chr01	235000	133	0.691685
(372,487)(224519,268043)(220000,270000)	chr01	245000	117	0.777051
(394,514)(241035,278351)(230000,280000)	chr01	255000	122	0.783641
(394,528)(241035,286071)(240000,290000)	chr01	265000	136	0.766612
(432,532)(250021,291347)(250000,300000)	chr01	275000	102	0.742058
(469,551)(267752,307842)(260000,310000)	chr01	285000	84	0.778397
(488,551)(270347,307842)(270000,320000)	chr01	295000	65	0.770774
(515,563)(284710,324273)(280000,330000)	chr01	305000	50	0.765433
(529,589)(291296,339583)(290000,340000)	chr01	315000	62	0.818004
(533,595)(303105,348196)(300000,350000)	chr01	325000	64	0.806442
(552,613)(322110,359771)(310000,360000)	chr01	335000	63	0.771306
(552,621)(322110,360805)(320000,370000)	chr01	345000	71	0.772992
(564,640)(334023,373127)(330000,380000)	chr01	355000	78	0.740755
(590,643)(342750,384275)(340000,390000)	chr01	365000	55	0.733680
(596,651)(356572,399618)(350000,400000)	chr01	375000	57	0.725304
(614,661)(360718,406909)(360000,410000)	chr01	385000	49	0.763140
(622,695)(371165,418272)(370000,420000)	chr01	395000	75	0.691784
(641,704)(384248,426178)(380000,430000)	chr01	405000	65	0.728289
(644,704)(399494,426178)(390000,440000)	chr01	415000	62	0.710379
(652,712)(405929,447272)(400000,450000)	chr01	425000	62	0.699760
(662,725)(413073,458510)(410000,460000)	chr01	435000	65	0.745102
(696,725)(422091,458510)(420000,470000)	chr01	445000	31	0.852044
(705,738)(447168,477626)(430000,480000)	chr01	455000	35	0.762789
(705,762)(447168,489540)(440000,490000)	chr01	465000	59	0.757229
(713,772)(458290,497021)(450000,500000)	chr01	475000	61	0.800365
(726,772)(472791,497021)(460000,510000)	chr01	485000	48	0.735189
(726,773)(472791,519445)(470000,520000)	chr01	495000	49	0.735187
(739,794)(484534,527912)(480000,530000)	chr01	505000	57	0.700659
