region	chr	midPos	Nsites
(5,51)(34877,79275)(30000,80000)	chr01	55000	48	0.817977
(6,51)(40565,79275)(40000,90000)	chr01	65000	47	0.812561
(17,53)(66768,99748)(50000,100000)	chr01	75000	38	0.768242
(17,87)(66768,109295)(60000,110000)	chr01	85000	72	0.747993
(24,161)(72990,119227)(70000,120000)	chr01	95000	139	0.655044
(52,186)(99745,121372)(80000,130000)	chr01	105000	136	0.592027
(52,214)(99745,131673)(90000,140000)	chr01	115000	164	0.635843
(54,229)(101120,148599)(100000,150000)	chr01	125000	177	0.601173
(88,254)(112439,159252)(110000,160000)	chr01	135000	168	0.564664
(162,275)(121114,169571)(120000,170000)	chr01	145000	115	0.566823
(187,282)(130856,175991)(130000,180000)	chr01	155000	97	0.607514
(215,285)(146066,183449)(140000,190000)	chr01	165000	72	0.329113
(230,297)(155765,197658)(150000,200000)	chr01	175000	69	0.580682
(255,315)(165376,204116)(160000,210000)	chr01	185000	62	0.632305
(276,350)(175855,216859)(170000,220000)	chr01	195000	76	0.817088
(283,372)(183430,229717)(180000,230000)	chr01	205000	91	0.849786
(286,372)(193065,229717)(190000,240000)	chr01	215000	88	0.862217
(298,412)(202400,249999)(200000,250000)	chr01	225000	116	0.867647
(316,444)(214936,257533)(210000,260000)	chr01	235000	130	0.881688
(351,463)(224519,268043)(220000,270000)	chr01	245000	114	0.840240
(373,491)(241035,278351)(230000,280000)	chr01	255000	120	0.838416
(373,515)(241035,286093)(240000,290000)	chr01	265000	144	0.831527
(413,524)(250021,296664)(250000,300000)	chr01	275000	113	0.825979
(445,542)(267752,305489)(260000,310000)	chr01	285000	99	0.769480
(464,542)(270347,305489)(270000,320000)	chr01	295000	80	0.791442
(492,554)(281515,324273)(280000,330000)	chr01	305000	64	0.797207
(516,570)(291233,339583)(290000,340000)	chr01	315000	56	0.826791
(525,576)(303105,348196)(300000,350000)	chr01	325000	53	0.841388
(543,593)(322110,359771)(310000,360000)	chr01	335000	52	0.895185
(543,601)(322110,360805)(320000,370000)	chr01	345000	60	0.892199
(555,620)(334023,373127)(330000,380000)	chr01	355000	67	0.768724
(571,623)(342750,384275)(340000,390000)	chr01	365000	54	0.733753
(577,631)(356572,399618)(350000,400000)	chr01	375000	56	0.684179
(594,639)(360718,406783)(360000,410000)	chr01	385000	47	0.714080
(602,675)(371165,418272)(370000,420000)	chr01	395000	75	0.787361
(621,684)(384248,426178)(380000,430000)	chr01	405000	65	0.794453
(624,684)(399494,426178)(390000,440000)	chr01	415000	62	0.786777
(632,684)(405929,426178)(400000,450000)	chr01	425000	54	0.808225
(640,697)(412986,458510)(410000,460000)	chr01	435000	59	0.784862
(676,697)(422091,458510)(420000,470000)	chr01	445000	23	0.495326
(685,710)(458290,477626)(430000,480000)	chr01	455000	27	0.699476
(685,725)(458290,489540)(440000,490000)	chr01	465000	42	0.696843
(685,736)(458290,497075)(450000,500000)	chr01	475000	53	0.795734
(698,736)(472791,497075)(460000,510000)	chr01	485000	40	0.811076
(698,737)(472791,519445)(470000,520000)	chr01	495000	41	0.803363
(711,749)(482579,525090)(480000,530000)	chr01	505000	40	0.807304
(726,749)(490388,525090)(490000,540000)	chr01	515000	25	0.845010
(737,751)(519445,546039)(500000,550000)	chr01	525000	16	0.770807
(737,751)(519445,546039)(510000,560000)	chr01	535000	16	0.770807
(738,758)(520967,567617)(520000,570000)	chr01	545000	22	0.740608
(750,758)(546012,567617)(530000,580000)	chr01	555000	10	0.628755
(750,758)(546012,567617)(540000,590000)	chr01	565000	10	0.628755
(752,774)(567497,598747)(550000,600000)	chr01	575000	24	0.759957
(752,795)(567497,609080)(560000,610000)	chr01	585000	45	0.685947
(759,795)(598538,609080)(570000,620000)	chr01	595000	38	0.700006
(759,795)(598538,609080)(580000,630000)	chr01	605000	38	0.700006
(759,817)(598538,639995)(590000,640000)	chr01	615000	60	0.631606
(775,820)(608808,647580)(600000,650000)	chr01	625000	47	0.618507
(796,820)(631986,647580)(610000,660000)	chr01	635000	26	0.627541
(796,820)(631986,647580)(620000,670000)	chr01	645000	26	0.627541
(796,824)(631986,679765)(630000,680000)	chr01	655000	30	0.671196
(818,824)(640931,679765)(640000,690000)	chr01	665000	8	0.809082
(821,827)(679713,699440)(650000,700000)	chr01	675000	8	0.768322
(821,846)(679713,705398)(660000,710000)	chr01	685000	27	0.760782
(821,856)(679713,710536)(670000,720000)	chr01	695000	37	0.646176
(825,891)(699339,726176)(680000,730000)	chr01	705000	68	0.642119
(825,924)(699339,736121)(690000,740000)	chr01	715000	101	0.619330
(828,930)(702035,749383)(700000,750000)	chr01	725000	104	0.604679
(847,933)(710398,754850)(710000,760000)	chr01	735000	88	0.569217
(857,969)(720265,768507)(720000,770000)	chr01	745000	114	0.618498
(892,976)(730423,774383)(730000,780000)	chr01	755000	86	0.625692
(925,977)(749258,780712)(740000,790000)	chr01	765000	54	0.662628
(931,977)(751549,780712)(750000,800000)	chr01	775000	48	0.678786
(934,981)(760149,800296)(760000,810000)	chr01	785000	49	0.655425
