region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.846151
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.739449
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.680807
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.665796
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.642674
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.722210
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.620509
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.591015
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.607346
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.581942
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.498193
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.541697
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.570231
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.545900
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.588023
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.543723
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.481758
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.554245
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.537547
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.589649
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.623924
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.603642
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.548765
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.562656
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.511074
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.487616
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.591606
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.629168
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.670430
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.656012
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.573175
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.598973
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.612798
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.582306
(608,663)(356572,399618)(350000,400000)	chr01	375000	57	0.602350
(626,676)(360718,406783)(360000,410000)	chr01	385000	52	0.782390
(634,703)(371165,418272)(370000,420000)	chr01	395000	71	0.744258
(653,712)(384248,426178)(380000,430000)	chr01	405000	61	0.766570
(656,712)(399494,426178)(390000,440000)	chr01	415000	58	0.755077
(664,712)(405929,426178)(400000,450000)	chr01	425000	50	0.768494
(677,725)(413073,458510)(410000,460000)	chr01	435000	50	0.675933
(704,725)(422091,458510)(420000,470000)	chr01	445000	23	0.669197
(713,738)(458290,477626)(430000,480000)	chr01	455000	27	0.552615
(713,764)(458290,489540)(440000,490000)	chr01	465000	53	0.423839
(713,775)(458290,497075)(450000,500000)	chr01	475000	64	0.494412
(726,775)(472791,497075)(460000,510000)	chr01	485000	51	0.477613
(726,776)(472791,519445)(470000,520000)	chr01	495000	52	0.484464
(739,797)(482579,527912)(480000,530000)	chr01	505000	60	0.497532
(765,797)(490388,527912)(490000,540000)	chr01	515000	34	0.597297
(776,799)(519445,546039)(500000,550000)	chr01	525000	25	0.520184
(776,799)(519445,546039)(510000,560000)	chr01	535000	25	0.520184
(777,806)(520967,567617)(520000,570000)	chr01	545000	31	0.478086
(798,806)(546012,567617)(530000,580000)	chr01	555000	10	0.357270
(798,806)(546012,567617)(540000,590000)	chr01	565000	10	0.357270
(800,822)(567497,598747)(550000,600000)	chr01	575000	24	0.565369
(800,843)(567497,609080)(560000,610000)	chr01	585000	45	0.534616
(807,843)(598538,609080)(570000,620000)	chr01	595000	38	0.571747
(807,843)(598538,609080)(580000,630000)	chr01	605000	38	0.571747
(807,865)(598538,639995)(590000,640000)	chr01	615000	60	0.534085
(823,868)(608808,647580)(600000,650000)	chr01	625000	47	0.560116
(844,868)(631986,647580)(610000,660000)	chr01	635000	26	0.599224
(844,868)(631986,647580)(620000,670000)	chr01	645000	26	0.599224
(844,872)(631986,679765)(630000,680000)	chr01	655000	30	0.632496
(866,872)(640931,679765)(640000,690000)	chr01	665000	8	0.885667
(869,875)(679713,699440)(650000,700000)	chr01	675000	8	0.710632
(869,897)(679713,705398)(660000,710000)	chr01	685000	30	0.779330
(869,907)(679713,710536)(670000,720000)	chr01	695000	40	0.672311
(873,942)(699339,726176)(680000,730000)	chr01	705000	71	0.635938
(873,975)(699339,736121)(690000,740000)	chr01	715000	104	0.588463
(876,981)(702035,749383)(700000,750000)	chr01	725000	107	0.580544
(898,984)(710398,754850)(710000,760000)	chr01	735000	88	0.502000
(908,1024)(720265,768507)(720000,770000)	chr01	745000	118	0.577275
(943,1031)(730423,774383)(730000,780000)	chr01	755000	90	0.579456
(976,1032)(749258,780712)(740000,790000)	chr01	765000	58	0.626704
(982,1032)(751549,780712)(750000,800000)	chr01	775000	52	0.650620
(985,1036)(760149,800296)(760000,810000)	chr01	785000	53	0.651337
(1025,1066)(771638,819725)(770000,820000)	chr01	795000	43	0.633964
(1032,1068)(780712,824471)(780000,830000)	chr01	805000	38	0.559478
(1033,1121)(800261,839979)(790000,840000)	chr01	815000	90	0.586908
(1033,1122)(800261,849991)(800000,850000)	chr01	825000	91	0.586720
(1037,1127)(816740,852734)(810000,860000)	chr01	835000	92	0.592443
(1067,1130)(824403,860813)(820000,870000)	chr01	845000	65	0.587286
(1069,1136)(830052,877821)(830000,880000)	chr01	855000	69	0.580913
(1122,1146)(849991,888203)(840000,890000)	chr01	865000	26	0.557731
(1123,1153)(852666,898756)(850000,900000)	chr01	875000	32	0.707064
(1128,1178)(860727,909640)(860000,910000)	chr01	885000	52	0.725710
(1131,1208)(876147,916778)(870000,920000)	chr01	895000	79	0.590112
(1137,1235)(881512,929364)(880000,930000)	chr01	905000	100	0.538696
(1147,1239)(893856,936207)(890000,940000)	chr01	915000	94	0.530777
(1154,1272)(902874,949937)(900000,950000)	chr01	925000	120	0.480519
(1179,1285)(911188,952812)(910000,960000)	chr01	935000	108	0.462332
(1209,1293)(921481,969688)(920000,970000)	chr01	945000	86	0.483098
(1236,1338)(933153,979790)(930000,980000)	chr01	955000	104	0.473006
(1240,1358)(941192,981690)(940000,990000)	chr01	965000	120	0.484384
(1273,1374)(951051,994392)(950000,1000000)	chr01	975000	103	0.477553
(1286,1376)(964396,1007159)(960000,1010000)	chr01	985000	92	0.452928
(1294,1412)(972160,1019757)(970000,1020000)	chr01	995000	120	0.428873
(1339,1415)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.452640
(1359,1429)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.411041
(1375,1448)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.376406
(1377,1449)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.399547
(1413,1458)(1023745,1060127)(1020000,1070000)	chr01	1045000	47	0.461135
(1416,1458)(1030079,1060127)(1030000,1080000)	chr01	1055000	44	0.466080
(1430,1468)(1040190,1088668)(1040000,1090000)	chr01	1065000	40	0.636638
(1449,1468)(1059222,1088668)(1050000,1100000)	chr01	1075000	21	0.770887
(1450,1473)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.723779
(1459,1476)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.697722
(1459,1483)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.717617
(1469,1513)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.748969
(1469,1534)(1106311,1148852)(1100000,1150000)	chr01	1125000	67	0.833865
(1474,1536)(1110213,1156484)(1110000,1160000)	chr01	1135000	64	0.845010
(1477,1564)(1125674,1169984)(1120000,1170000)	chr01	1145000	89	0.788810
(1484,1571)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.743740
(1514,1575)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.708266
(1535,1582)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.422183
(1537,1590)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.464902
(1565,1604)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.431618
(1572,1604)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.473630
(1576,1623)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.466216
(1583,1627)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.428472
(1591,1627)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.368870
(1605,1632)(1230664,1266942)(1220000,1270000)	chr01	1245000	29	0.505330
(1605,1638)(1230664,1271087)(1230000,1280000)	chr01	1255000	35	0.542854
(1624,1652)(1247842,1287173)(1240000,1290000)	chr01	1265000	30	0.656016
(1628,1655)(1260436,1299829)(1250000,1300000)	chr01	1275000	29	0.676117
(1628,1698)(1260436,1309752)(1260000,1310000)	chr01	1285000	72	0.518856
(1633,1706)(1271029,1311855)(1270000,1320000)	chr01	1295000	75	0.536358
(1639,1715)(1281877,1328440)(1280000,1330000)	chr01	1305000	78	0.564159
(1653,1738)(1299742,1339830)(1290000,1340000)	chr01	1315000	87	0.488639
(1656,1772)(1306965,1348194)(1300000,1350000)	chr01	1325000	118	0.416882
(1699,1776)(1311649,1355827)(1310000,1360000)	chr01	1335000	79	0.420018
(1707,1788)(1326979,1369999)(1320000,1370000)	chr01	1345000	83	0.427282
(1716,1807)(1330096,1376926)(1330000,1380000)	chr01	1355000	93	0.381148
(1739,1809)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.394717
(1773,1866)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.466788
(1777,1903)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.454789
(1789,1923)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.429167
(1808,1945)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.505117
(1810,1953)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.537743
(1867,1975)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.578878
(1904,1975)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.619577
(1924,1991)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.643012
(1946,2002)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.567334
