region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.770395
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.770395
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.667613
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.641870
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.679609
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.547451
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.724402
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.753633
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.765457
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.749618
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.803651
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.773859
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.739486
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.709559
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.705847
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.598577
(267,348)(175855,216859)(170000,220000)	chr01	195000	83	0.622879
(274,370)(183430,229717)(180000,230000)	chr01	205000	98	0.651335
(277,370)(193065,229717)(190000,240000)	chr01	215000	95	0.657611
(289,410)(202400,249999)(200000,250000)	chr01	225000	123	0.624081
(314,444)(214936,257492)(210000,260000)	chr01	235000	132	0.686342
(349,460)(224519,268043)(220000,270000)	chr01	245000	113	0.570806
(371,474)(241035,278259)(230000,280000)	chr01	255000	105	0.510188
(371,484)(241035,285977)(240000,290000)	chr01	265000	115	0.513064
(411,484)(250021,285977)(250000,300000)	chr01	275000	75	0.544900
(445,499)(267752,305489)(260000,310000)	chr01	285000	56	0.623456
(461,499)(270347,305489)(270000,320000)	chr01	295000	40	0.739417
(475,504)(284735,323234)(280000,330000)	chr01	305000	31	0.832063
(485,519)(303105,339583)(290000,340000)	chr01	315000	36	0.796516
(485,524)(303105,348196)(300000,350000)	chr01	325000	41	0.812372
(500,542)(322110,359771)(310000,360000)	chr01	335000	44	0.586389
(500,550)(322110,360805)(320000,370000)	chr01	345000	52	0.585127
(505,569)(334023,373127)(330000,380000)	chr01	355000	66	0.544148
