region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.847260
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.582979
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.653878
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.653946
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.554771
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.429880
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.418412
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.331262
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.374947
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.359154
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.382601
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.379042
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.368342
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.311700
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.333233
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.350682
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.663862
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.654086
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.641539
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.566660
(332,458)(215040,258347)(210000,260000)	chr01	235000	128	0.510791
(360,477)(224519,268043)(220000,270000)	chr01	245000	119	0.183122
(382,506)(241035,278351)(230000,280000)	chr01	255000	126	0.163830
(382,530)(241035,286093)(240000,290000)	chr01	265000	150	0.245258
(422,539)(250021,296664)(250000,300000)	chr01	275000	119	0.305438
(459,557)(267752,305489)(260000,310000)	chr01	285000	100	0.307460
(478,557)(270347,305489)(270000,320000)	chr01	295000	81	0.403840
(507,569)(281515,324273)(280000,330000)	chr01	305000	64	0.442373
(531,595)(291233,339583)(290000,340000)	chr01	315000	66	0.392518
(540,601)(303105,348196)(300000,350000)	chr01	325000	63	0.377301
(558,619)(322110,359771)(310000,360000)	chr01	335000	63	0.394054
(558,627)(322110,360805)(320000,370000)	chr01	345000	71	0.399465
(570,646)(334023,373127)(330000,380000)	chr01	355000	78	0.386008
(596,649)(342750,384275)(340000,390000)	chr01	365000	55	0.347846
(602,657)(356572,399618)(350000,400000)	chr01	375000	57	0.341483
(620,671)(360718,406909)(360000,410000)	chr01	385000	53	0.486459
(628,709)(371165,418272)(370000,420000)	chr01	395000	83	0.419751
(647,718)(384248,426178)(380000,430000)	chr01	405000	73	0.481972
(650,718)(399494,426178)(390000,440000)	chr01	415000	70	0.470306
(658,726)(405929,447272)(400000,450000)	chr01	425000	70	0.471617
(672,739)(412909,458510)(410000,460000)	chr01	435000	69	0.597949
(710,739)(422091,458510)(420000,470000)	chr01	445000	31	0.829732
(719,752)(447168,477626)(430000,480000)	chr01	455000	35	0.660327
(719,778)(447168,489540)(440000,490000)	chr01	465000	61	0.636708
(727,789)(458290,497075)(450000,500000)	chr01	475000	64	0.675362
(740,789)(472791,497075)(460000,510000)	chr01	485000	51	0.469358
(740,790)(472791,519445)(470000,520000)	chr01	495000	52	0.475049
(753,811)(482579,527912)(480000,530000)	chr01	505000	60	0.623957
(779,811)(490388,527912)(490000,540000)	chr01	515000	34	0.658383
(790,813)(519445,546039)(500000,550000)	chr01	525000	25	0.647191
(790,814)(519445,556579)(510000,560000)	chr01	535000	26	0.645466
(791,821)(520967,567617)(520000,570000)	chr01	545000	32	0.546441
(812,821)(546012,567617)(530000,580000)	chr01	555000	11	0.062786
(812,821)(546012,567617)(540000,590000)	chr01	565000	11	0.062786
(814,837)(556579,598747)(550000,600000)	chr01	575000	25	0.372941
(815,858)(567497,609080)(560000,610000)	chr01	585000	45	0.519486
(822,858)(598538,609080)(570000,620000)	chr01	595000	38	0.600174
(822,867)(598538,622801)(580000,630000)	chr01	605000	47	0.577110
(822,889)(598538,639995)(590000,640000)	chr01	615000	69	0.557411
(838,893)(608808,647580)(600000,650000)	chr01	625000	57	0.556519
(859,893)(622726,647580)(610000,660000)	chr01	635000	36	0.502232
(859,897)(622726,664510)(620000,670000)	chr01	645000	40	0.500938
(868,897)(631986,664510)(630000,680000)	chr01	655000	31	0.519281
(890,901)(640931,687537)(640000,690000)	chr01	665000	13	0.398426
(894,904)(664448,699440)(650000,700000)	chr01	675000	12	0.169617
(894,911)(664448,702232)(660000,710000)	chr01	685000	19	0.638649
(898,921)(687435,710536)(670000,720000)	chr01	695000	25	0.668215
(898,956)(687435,726176)(680000,730000)	chr01	705000	60	0.550721
(902,989)(699339,736121)(690000,740000)	chr01	715000	89	0.509534
(905,995)(702035,749383)(700000,750000)	chr01	725000	92	0.520969
(912,998)(710398,754850)(710000,760000)	chr01	735000	88	0.466838
(922,1038)(720265,768507)(720000,770000)	chr01	745000	118	0.502971
(957,1045)(730423,774383)(730000,780000)	chr01	755000	90	0.515292
(990,1046)(749258,780712)(740000,790000)	chr01	765000	58	0.605628
(996,1046)(751549,780712)(750000,800000)	chr01	775000	52	0.612866
(999,1050)(760149,800296)(760000,810000)	chr01	785000	53	0.631350
(1039,1080)(771638,819725)(770000,820000)	chr01	795000	43	0.364274
(1046,1082)(780712,824471)(780000,830000)	chr01	805000	38	0.361242
(1047,1136)(800261,839979)(790000,840000)	chr01	815000	91	0.394005
(1047,1137)(800261,849991)(800000,850000)	chr01	825000	92	0.393982
(1051,1142)(816740,852734)(810000,860000)	chr01	835000	93	0.404710
(1081,1145)(824403,860813)(820000,870000)	chr01	845000	66	0.405376
