region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.461191
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.461191
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.476058
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.422935
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.484799
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.610957
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.632272
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.680323
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.689736
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.716566
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.657312
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.571118
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.582887
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.561617
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.483914
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.580570
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.652132
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.606397
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.605235
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.552578
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.451951
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.458992
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.548111
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.601377
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.690988
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.748430
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.770858
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.808457
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.736900
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.700647
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.648650
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.621834
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.596811
(542,594)(342750,384275)(340000,390000)	chr01	365000	54	0.563613
(548,602)(356572,399618)(350000,400000)	chr01	375000	56	0.517729
(565,610)(360718,406783)(360000,410000)	chr01	385000	47	0.540216
(573,637)(371165,418272)(370000,420000)	chr01	395000	66	0.543295
(592,646)(384248,426178)(380000,430000)	chr01	405000	56	0.455523
(595,646)(399494,426178)(390000,440000)	chr01	415000	53	0.458201
(603,657)(405929,447419)(400000,450000)	chr01	425000	56	0.585070
(611,670)(413073,458510)(410000,460000)	chr01	435000	61	0.626253
(638,670)(422091,458510)(420000,470000)	chr01	445000	34	0.801625
(647,683)(440110,477626)(430000,480000)	chr01	455000	38	0.781910
(647,709)(440110,489540)(440000,490000)	chr01	465000	64	0.681668
(658,720)(458290,497075)(450000,500000)	chr01	475000	64	0.650400
(671,720)(472791,497075)(460000,510000)	chr01	485000	51	0.638910
(671,721)(472791,519445)(470000,520000)	chr01	495000	52	0.636894
(684,742)(482579,527912)(480000,530000)	chr01	505000	60	0.568684
(710,742)(490388,527912)(490000,540000)	chr01	515000	34	0.554319
(721,744)(519445,546039)(500000,550000)	chr01	525000	25	0.319222
(721,751)(519445,556579)(510000,560000)	chr01	535000	32	0.289462
(722,758)(520967,567617)(520000,570000)	chr01	545000	38	0.324665
(743,758)(546012,567617)(530000,580000)	chr01	555000	17	0.319623
(743,758)(546012,567617)(540000,590000)	chr01	565000	17	0.319623
(745,774)(553209,598747)(550000,600000)	chr01	575000	31	0.466670
(752,795)(567497,609080)(560000,610000)	chr01	585000	45	0.474376
(759,801)(598538,615712)(570000,620000)	chr01	595000	44	0.471685
(759,815)(598538,629014)(580000,630000)	chr01	605000	58	0.411045
(759,843)(598538,639995)(590000,640000)	chr01	615000	86	0.575048
(775,845)(608808,647580)(600000,650000)	chr01	625000	72	0.553673
(796,845)(615547,647580)(610000,660000)	chr01	635000	51	0.579290
(802,857)(622726,664539)(620000,670000)	chr01	645000	57	0.573455
(816,924)(631986,679765)(630000,680000)	chr01	655000	110	0.535573
