region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.921704
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.921704
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.808121
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.807894
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.669305
(22,79)(72990,109295)(60000,110000)	chr01	85000	59	0.585228
(22,150)(72990,119227)(70000,120000)	chr01	95000	130	0.602024
(44,175)(99745,121372)(80000,130000)	chr01	105000	133	0.558561
(44,203)(99745,131673)(90000,140000)	chr01	115000	161	0.614166
(46,218)(101120,148599)(100000,150000)	chr01	125000	174	0.625872
(80,243)(112439,159252)(110000,160000)	chr01	135000	165	0.595832
(151,264)(121114,169571)(120000,170000)	chr01	145000	115	0.611817
(176,271)(130856,175991)(130000,180000)	chr01	155000	97	0.652833
(204,274)(146066,183449)(140000,190000)	chr01	165000	72	0.604453
(219,281)(155765,197658)(150000,200000)	chr01	175000	64	0.586654
(244,306)(165376,204116)(160000,210000)	chr01	185000	64	0.677003
(265,341)(175855,216859)(170000,220000)	chr01	195000	78	0.684200
(272,363)(183430,229717)(180000,230000)	chr01	205000	93	0.722407
(275,363)(195626,229717)(190000,240000)	chr01	215000	90	0.712402
(282,401)(202400,249999)(200000,250000)	chr01	225000	121	0.789196
(307,435)(214936,257492)(210000,260000)	chr01	235000	130	0.842477
(342,451)(224519,268043)(220000,270000)	chr01	245000	111	0.823608
(364,465)(241035,278259)(230000,280000)	chr01	255000	103	0.800534
(364,475)(241035,285977)(240000,290000)	chr01	265000	113	0.800049
(402,475)(250021,285977)(250000,300000)	chr01	275000	75	0.735651
(436,490)(267752,305489)(260000,310000)	chr01	285000	56	0.626680
(452,490)(270347,305489)(270000,320000)	chr01	295000	40	0.698403
(466,495)(284735,323234)(280000,330000)	chr01	305000	31	0.731184
(476,510)(303105,339583)(290000,340000)	chr01	315000	36	0.715451
(476,515)(303105,348196)(300000,350000)	chr01	325000	41	0.757424
(491,533)(322110,359771)(310000,360000)	chr01	335000	44	0.763448
(491,541)(322110,360805)(320000,370000)	chr01	345000	52	0.754356
(496,560)(334023,373127)(330000,380000)	chr01	355000	66	0.779682
(511,560)(342750,373127)(340000,390000)	chr01	365000	51	0.802434
(516,568)(356572,399618)(350000,400000)	chr01	375000	54	0.756517
(534,581)(360718,406783)(360000,410000)	chr01	385000	49	0.845184
(542,608)(371165,418272)(370000,420000)	chr01	395000	68	0.751548
(561,617)(399494,426178)(380000,430000)	chr01	405000	58	0.751418
(561,617)(399494,426178)(390000,440000)	chr01	415000	58	0.751418
(569,619)(405929,447272)(400000,450000)	chr01	425000	52	0.760531
(582,619)(413073,447272)(410000,460000)	chr01	435000	39	0.666402
(609,619)(422091,447272)(420000,470000)	chr01	445000	12	0.804132
(618,632)(447245,477626)(430000,480000)	chr01	455000	16	0.642589
(618,653)(447245,489386)(440000,490000)	chr01	465000	37	0.710788
(620,664)(472791,497075)(450000,500000)	chr01	475000	46	0.716586
(620,664)(472791,497075)(460000,510000)	chr01	485000	46	0.716586
(620,665)(472791,519445)(470000,520000)	chr01	495000	47	0.707882
(633,677)(482579,525090)(480000,530000)	chr01	505000	46	0.732000
(654,677)(490388,525090)(490000,540000)	chr01	515000	25	0.705839
(665,679)(519445,546039)(500000,550000)	chr01	525000	16	0.752161
(665,680)(519445,556579)(510000,560000)	chr01	535000	17	0.751688
(666,687)(520967,567617)(520000,570000)	chr01	545000	23	0.674067
(678,687)(546012,567617)(530000,580000)	chr01	555000	11	0.539686
(678,687)(546012,567617)(540000,590000)	chr01	565000	11	0.539686
(680,703)(556579,598747)(550000,600000)	chr01	575000	25	0.451257
(681,724)(567497,609080)(560000,610000)	chr01	585000	45	0.602683
(688,729)(598538,615712)(570000,620000)	chr01	595000	43	0.742212
(688,738)(598538,622801)(580000,630000)	chr01	605000	52	0.750775
(688,760)(598538,639995)(590000,640000)	chr01	615000	74	0.572458
(704,764)(608808,647580)(600000,650000)	chr01	625000	62	0.632749
(725,764)(615625,647580)(610000,660000)	chr01	635000	41	0.566419
(730,776)(622726,664539)(620000,670000)	chr01	645000	48	0.446399
(739,843)(631986,679765)(630000,680000)	chr01	655000	106	0.448875
(761,849)(640931,687635)(640000,690000)	chr01	665000	90	0.488278
(765,852)(664341,699440)(650000,700000)	chr01	675000	89	0.467431
(765,874)(664341,705398)(660000,710000)	chr01	685000	111	0.508081
(777,884)(670057,710536)(670000,720000)	chr01	695000	109	0.545481
(844,919)(687435,726176)(680000,730000)	chr01	705000	77	0.685250
(850,952)(699339,736121)(690000,740000)	chr01	715000	104	0.598398
(853,958)(702035,749383)(700000,750000)	chr01	725000	107	0.577901
(875,960)(710398,751567)(710000,760000)	chr01	735000	87	0.541893
(885,998)(720265,768507)(720000,770000)	chr01	745000	115	0.496688
(920,1003)(730423,774383)(730000,780000)	chr01	755000	85	0.417441
(953,1004)(749258,780712)(740000,790000)	chr01	765000	53	0.489497
(959,1004)(751549,780712)(750000,800000)	chr01	775000	47	0.507904
(961,1008)(760149,800296)(760000,810000)	chr01	785000	49	0.487550
(999,1038)(774173,819725)(770000,820000)	chr01	795000	41	0.391120
(1004,1040)(780712,824471)(780000,830000)	chr01	805000	38	0.371602
(1005,1091)(800261,839864)(790000,840000)	chr01	815000	88	0.503492
(1005,1092)(800261,849991)(800000,850000)	chr01	825000	89	0.503371
(1009,1099)(816740,855718)(810000,860000)	chr01	835000	92	0.519215
(1039,1102)(824403,860813)(820000,870000)	chr01	845000	65	0.526889
(1041,1108)(830052,877821)(830000,880000)	chr01	855000	69	0.568435
(1092,1118)(849991,888203)(840000,890000)	chr01	865000	28	0.647083
(1093,1119)(852666,898756)(850000,900000)	chr01	875000	28	0.647117
(1100,1135)(860727,908031)(860000,910000)	chr01	885000	37	0.615683
(1103,1165)(876147,916778)(870000,920000)	chr01	895000	64	0.700895
(1109,1192)(885300,929364)(880000,930000)	chr01	905000	85	0.712675
(1119,1196)(898756,936207)(890000,940000)	chr01	915000	79	0.711662
(1120,1229)(902874,949937)(900000,950000)	chr01	925000	111	0.807836
(1136,1242)(911188,952812)(910000,960000)	chr01	935000	108	0.810385
(1166,1247)(921481,969688)(920000,970000)	chr01	945000	83	0.837313
(1193,1272)(933153,979790)(930000,980000)	chr01	955000	81	0.871748
(1197,1292)(941192,981690)(940000,990000)	chr01	965000	97	0.858155
(1230,1308)(951051,994392)(950000,1000000)	chr01	975000	80	0.803137
(1243,1310)(964396,1007159)(960000,1010000)	chr01	985000	69	0.839181
(1248,1346)(972160,1019757)(970000,1020000)	chr01	995000	100	0.754001
(1273,1349)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.731969
(1293,1363)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.716164
(1309,1382)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.720322
(1311,1383)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.725595
(1347,1392)(1023745,1060127)(1020000,1070000)	chr01	1045000	47	0.800115
(1350,1392)(1030079,1060127)(1030000,1080000)	chr01	1055000	44	0.781026
(1364,1415)(1040190,1088668)(1040000,1090000)	chr01	1065000	53	0.829434
(1383,1415)(1059222,1088668)(1050000,1100000)	chr01	1075000	34	0.832847
(1384,1420)(1060081,1106471)(1060000,1110000)	chr01	1085000	38	0.845932
(1393,1434)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.889597
(1393,1446)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.895637
(1416,1477)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.818862
(1416,1497)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.806658
(1421,1499)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.794133
(1435,1527)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.751354
(1447,1534)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.661006
(1478,1538)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.630442
(1498,1545)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.614645
(1500,1553)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.614271
(1528,1567)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.495405
(1535,1567)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.575351
(1539,1586)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.537181
(1546,1592)(1202564,1247876)(1200000,1250000)	chr01	1225000	48	0.520226
(1554,1592)(1215791,1247876)(1210000,1260000)	chr01	1235000	40	0.484460
(1568,1597)(1230664,1266942)(1220000,1270000)	chr01	1245000	31	0.550119
(1568,1603)(1230664,1271087)(1230000,1280000)	chr01	1255000	37	0.610357
(1587,1618)(1242138,1287173)(1240000,1290000)	chr01	1265000	33	0.688676
(1593,1621)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.622315
(1593,1661)(1260436,1309739)(1260000,1310000)	chr01	1285000	70	0.521182
(1598,1669)(1271029,1311855)(1270000,1320000)	chr01	1295000	73	0.517944
(1604,1678)(1281877,1328440)(1280000,1330000)	chr01	1305000	76	0.436883
(1619,1702)(1299742,1339830)(1290000,1340000)	chr01	1315000	85	0.334449
(1622,1736)(1306965,1348194)(1300000,1350000)	chr01	1325000	116	0.475247
(1662,1740)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.486957
(1670,1752)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.514018
(1679,1763)(1330096,1373032)(1330000,1380000)	chr01	1355000	86	0.554133
(1703,1763)(1340379,1373032)(1340000,1390000)	chr01	1365000	62	0.612295
(1737,1814)(1354558,1396734)(1350000,1400000)	chr01	1375000	79	0.726759
(1741,1851)(1365354,1408031)(1360000,1410000)	chr01	1385000	112	0.861565
(1753,1867)(1370042,1417937)(1370000,1420000)	chr01	1395000	116	0.843347
(1764,1868)(1390829,1422618)(1380000,1430000)	chr01	1405000	106	0.842115
(1764,1876)(1390829,1434626)(1390000,1440000)	chr01	1415000	114	0.862901
(1815,1883)(1403724,1445336)(1400000,1450000)	chr01	1425000	70	0.922753
(1852,1883)(1412497,1445336)(1410000,1460000)	chr01	1435000	33	0.787010
(1868,1896)(1422618,1466656)(1420000,1470000)	chr01	1445000	30	0.954657
(1869,1903)(1432940,1477036)(1430000,1480000)	chr01	1455000	36	0.949527
(1877,1906)(1445275,1480505)(1440000,1490000)	chr01	1465000	31	0.922695
(1884,1918)(1466391,1494411)(1450000,1500000)	chr01	1475000	36	0.742458
(1884,1918)(1466391,1494411)(1460000,1510000)	chr01	1485000	36	0.742458
(1897,1920)(1475536,1518877)(1470000,1520000)	chr01	1495000	25	0.318163
(1904,1939)(1480472,1526735)(1480000,1530000)	chr01	1505000	37	0.304644
(1907,1943)(1494294,1539114)(1490000,1540000)	chr01	1515000	38	0.392725
(1919,1958)(1518851,1541686)(1500000,1550000)	chr01	1525000	41	0.445494
(1919,1959)(1518851,1559963)(1510000,1560000)	chr01	1535000	42	0.445469
(1921,1964)(1520238,1565601)(1520000,1570000)	chr01	1545000	45	0.560377
(1940,1974)(1534100,1576258)(1530000,1580000)	chr01	1555000	36	0.690898
(1944,1985)(1540673,1589999)(1540000,1590000)	chr01	1565000	43	0.760973
(1959,2003)(1559963,1594343)(1550000,1600000)	chr01	1575000	46	0.774218
(1960,2021)(1565554,1609534)(1560000,1610000)	chr01	1585000	63	0.769553
(1965,2041)(1571517,1615954)(1570000,1620000)	chr01	1595000	78	0.796563
(1975,2053)(1582529,1625070)(1580000,1630000)	chr01	1605000	80	0.833420
(1986,2053)(1590004,1625070)(1590000,1640000)	chr01	1615000	69	0.799800
