region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.545694
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.534205
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.458378
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.405980
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.406641
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.365787
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.372256
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.362741
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.375559
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.327453
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.354000
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.323006
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.355229
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.402672
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.509882
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.572725
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.585883
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.673244
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.705021
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.748620
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.772485
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.758760
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.729567
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.663669
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.683886
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.676889
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.684084
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.698774
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.759483
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.730566
(570,635)(334023,373127)(330000,380000)	chr01	355000	67	0.587975
(586,638)(342750,384275)(340000,390000)	chr01	365000	54	0.571407
(592,645)(356572,399618)(350000,400000)	chr01	375000	55	0.483457
(609,653)(360718,406783)(360000,410000)	chr01	385000	46	0.425560
(617,689)(371165,418272)(370000,420000)	chr01	395000	74	0.631678
(636,698)(384248,426178)(380000,430000)	chr01	405000	64	0.619978
(639,698)(399494,426178)(390000,440000)	chr01	415000	61	0.600937
(646,718)(405929,447446)(400000,450000)	chr01	425000	74	0.618660
(654,731)(412986,458510)(410000,460000)	chr01	435000	79	0.645263
(690,731)(422091,458510)(420000,470000)	chr01	445000	43	0.563329
(699,744)(440021,477626)(430000,480000)	chr01	455000	47	0.622721
(699,754)(440021,489386)(440000,490000)	chr01	465000	57	0.632726
(719,757)(458290,497075)(450000,500000)	chr01	475000	40	0.653176
(732,757)(472791,497075)(460000,510000)	chr01	485000	27	0.577321
(732,758)(472791,519445)(470000,520000)	chr01	495000	28	0.566083
(745,770)(482579,525090)(480000,530000)	chr01	505000	27	0.517026
(755,770)(496996,525090)(490000,540000)	chr01	515000	17	0.369800
(758,772)(519445,546039)(500000,550000)	chr01	525000	16	0.442573
(758,773)(519445,556579)(510000,560000)	chr01	535000	17	0.441821
(759,780)(520967,567617)(520000,570000)	chr01	545000	23	0.534932
(771,780)(546012,567617)(530000,580000)	chr01	555000	11	0.656717
(771,780)(546012,567617)(540000,590000)	chr01	565000	11	0.656717
(773,796)(556579,598747)(550000,600000)	chr01	575000	25	0.568493
(774,817)(567497,609080)(560000,610000)	chr01	585000	45	0.513292
(781,823)(598538,615712)(570000,620000)	chr01	595000	44	0.419451
(781,837)(598538,629014)(580000,630000)	chr01	605000	58	0.357490
(781,859)(598538,639995)(590000,640000)	chr01	615000	80	0.492361
(797,863)(608808,647580)(600000,650000)	chr01	625000	68	0.466968
(818,863)(615547,647580)(610000,660000)	chr01	635000	47	0.479294
(824,875)(622726,664539)(620000,670000)	chr01	645000	53	0.464415
(838,942)(631986,679765)(630000,680000)	chr01	655000	106	0.530942
(860,944)(640931,687635)(640000,690000)	chr01	665000	86	0.496901
(864,947)(664341,699440)(650000,700000)	chr01	675000	85	0.529551
(864,966)(664341,705398)(660000,710000)	chr01	685000	104	0.501010
(876,976)(670057,710536)(670000,720000)	chr01	695000	102	0.493843
(943,1011)(687594,726176)(680000,730000)	chr01	705000	70	0.429248
(945,1044)(699339,736121)(690000,740000)	chr01	715000	101	0.414553
(948,1050)(702035,749383)(700000,750000)	chr01	725000	104	0.373953
(967,1053)(710398,754850)(710000,760000)	chr01	735000	88	0.393613
