region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.749504
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.640398
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.546167
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.528177
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.464265
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.478910
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.498521
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.502423
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.498760
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.467014
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.584023
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.718962
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.738125
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.779697
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.824302
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.793656
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.645780
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.609050
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.583164
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.599198
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.522041
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.467180
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.479898
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.461244
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.320078
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.419480
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.505308
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.522085
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.678726
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.681401
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.745066
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.732702
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.787755
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.779399
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.727952
(632,679)(360718,406783)(360000,410000)	chr01	385000	49	0.774721
(640,706)(371165,418272)(370000,420000)	chr01	395000	68	0.695837
(659,715)(399494,426178)(380000,430000)	chr01	405000	58	0.638453
(659,715)(399494,426178)(390000,440000)	chr01	415000	58	0.638453
(667,717)(405929,447272)(400000,450000)	chr01	425000	52	0.669516
(680,717)(413073,447272)(410000,460000)	chr01	435000	39	0.551347
(707,717)(422091,447272)(420000,470000)	chr01	445000	12	0.477089
(716,730)(447245,477626)(430000,480000)	chr01	455000	16	0.370658
(716,751)(447245,489386)(440000,490000)	chr01	465000	37	0.676149
(718,762)(472791,497075)(450000,500000)	chr01	475000	46	0.735392
(718,762)(472791,497075)(460000,510000)	chr01	485000	46	0.735392
(718,763)(472791,519445)(470000,520000)	chr01	495000	47	0.724761
(731,775)(482579,525090)(480000,530000)	chr01	505000	46	0.839845
(752,775)(490388,525090)(490000,540000)	chr01	515000	25	0.792693
