region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.700213
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.677119
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.684299
(17,93)(66768,109295)(60000,110000)	chr01	85000	78	0.689800
(24,167)(72927,119227)(70000,120000)	chr01	95000	145	0.598164
(59,192)(99745,121372)(80000,130000)	chr01	105000	135	0.549807
(59,220)(99745,131673)(90000,140000)	chr01	115000	163	0.596580
(61,235)(101120,148599)(100000,150000)	chr01	125000	176	0.561310
(94,260)(112439,159252)(110000,160000)	chr01	135000	168	0.523289
(168,281)(121114,169571)(120000,170000)	chr01	145000	115	0.521663
(193,288)(130856,175991)(130000,180000)	chr01	155000	97	0.555390
(221,291)(146066,183449)(140000,190000)	chr01	165000	72	0.319153
(236,303)(155765,197658)(150000,200000)	chr01	175000	69	0.374808
(261,328)(165376,204116)(160000,210000)	chr01	185000	69	0.587257
(282,362)(175855,216832)(170000,220000)	chr01	195000	82	0.768091
(289,384)(183430,229717)(180000,230000)	chr01	205000	97	0.776717
(292,384)(193065,229717)(190000,240000)	chr01	215000	94	0.785561
(304,424)(202400,249999)(200000,250000)	chr01	225000	122	0.751962
(329,461)(214936,258347)(210000,260000)	chr01	235000	134	0.685513
(363,480)(224519,268043)(220000,270000)	chr01	245000	119	0.478459
(385,509)(241035,278351)(230000,280000)	chr01	255000	126	0.410978
(385,533)(241035,286093)(240000,290000)	chr01	265000	150	0.465556
(425,542)(250021,296664)(250000,300000)	chr01	275000	119	0.479803
(462,560)(267752,305489)(260000,310000)	chr01	285000	100	0.448233
(481,560)(270347,305489)(270000,320000)	chr01	295000	81	0.573329
(510,572)(281515,324273)(280000,330000)	chr01	305000	64	0.589236
(534,592)(291233,339583)(290000,340000)	chr01	315000	60	0.666448
(543,598)(303105,348196)(300000,350000)	chr01	325000	57	0.688490
(561,615)(322110,359771)(310000,360000)	chr01	335000	56	0.700318
(561,623)(322110,360805)(320000,370000)	chr01	345000	64	0.673197
(573,643)(336747,373127)(330000,380000)	chr01	355000	72	0.623130
(593,646)(342750,384275)(340000,390000)	chr01	365000	55	0.571912
(599,654)(356572,399618)(350000,400000)	chr01	375000	57	0.495415
(616,662)(360718,406909)(360000,410000)	chr01	385000	48	0.594995
(624,691)(371165,418272)(370000,420000)	chr01	395000	69	0.550594
(644,700)(384248,426178)(380000,430000)	chr01	405000	58	0.625756
(647,700)(399494,426178)(390000,440000)	chr01	415000	55	0.587391
(655,708)(405929,447272)(400000,450000)	chr01	425000	55	0.607017
(663,721)(412986,458510)(410000,460000)	chr01	435000	60	0.593048
(692,721)(422091,458510)(420000,470000)	chr01	445000	31	0.700692
(701,734)(447168,477626)(430000,480000)	chr01	455000	35	0.606092
(701,736)(447168,482581)(440000,490000)	chr01	465000	37	0.606170
(709,739)(458290,497075)(450000,500000)	chr01	475000	32	0.619565
(722,739)(472791,497075)(460000,510000)	chr01	485000	19	0.514968
(722,740)(472791,519445)(470000,520000)	chr01	495000	20	0.521198
(735,761)(482579,527912)(480000,530000)	chr01	505000	28	0.458410
(737,761)(496996,527912)(490000,540000)	chr01	515000	26	0.453534
(740,763)(519445,546039)(500000,550000)	chr01	525000	25	0.461736
(740,764)(519445,556579)(510000,560000)	chr01	535000	26	0.460245
(741,771)(520967,567617)(520000,570000)	chr01	545000	32	0.413693
(762,771)(546012,567617)(530000,580000)	chr01	555000	11	0.318796
(762,771)(546012,567617)(540000,590000)	chr01	565000	11	0.318796
(764,787)(556579,598747)(550000,600000)	chr01	575000	25	0.472906
(765,808)(567497,609080)(560000,610000)	chr01	585000	45	0.465820
(772,808)(598538,609080)(570000,620000)	chr01	595000	38	0.499972
(772,817)(598538,622801)(580000,630000)	chr01	605000	47	0.647674
(772,839)(598538,639995)(590000,640000)	chr01	615000	69	0.591858
(788,843)(608808,647580)(600000,650000)	chr01	625000	57	0.620165
(809,843)(622726,647580)(610000,660000)	chr01	635000	36	0.672972
(809,847)(622726,664510)(620000,670000)	chr01	645000	40	0.635543
(818,847)(631986,664510)(630000,680000)	chr01	655000	31	0.496710
(840,851)(640931,687537)(640000,690000)	chr01	665000	13	0.617504
(844,854)(664448,699440)(650000,700000)	chr01	675000	12	0.493735
(844,875)(664448,705398)(660000,710000)	chr01	685000	33	0.502693
(848,885)(687435,710536)(670000,720000)	chr01	695000	39	0.511609
(848,920)(687435,726176)(680000,730000)	chr01	705000	74	0.517591
(852,953)(699339,736121)(690000,740000)	chr01	715000	103	0.463620
(855,959)(702087,749383)(700000,750000)	chr01	725000	106	0.462716
(876,962)(710398,754850)(710000,760000)	chr01	735000	88	0.444090
(886,1002)(720265,768507)(720000,770000)	chr01	745000	118	0.454534
(921,1009)(730423,774383)(730000,780000)	chr01	755000	90	0.412616
(954,1010)(749258,780712)(740000,790000)	chr01	765000	58	0.446324
(960,1010)(751549,780712)(750000,800000)	chr01	775000	52	0.454091
(963,1014)(760149,800296)(760000,810000)	chr01	785000	53	0.464846
(1003,1044)(771638,819725)(770000,820000)	chr01	795000	43	0.538952
(1010,1046)(780712,824471)(780000,830000)	chr01	805000	38	0.546367
(1011,1098)(800261,839943)(790000,840000)	chr01	815000	89	0.446150
(1011,1099)(800261,849991)(800000,850000)	chr01	825000	90	0.446128
(1015,1104)(816740,852734)(810000,860000)	chr01	835000	91	0.449133
(1045,1107)(824403,860813)(820000,870000)	chr01	845000	64	0.319344
(1047,1113)(830052,877821)(830000,880000)	chr01	855000	68	0.352123
(1099,1125)(849991,888203)(840000,890000)	chr01	865000	28	0.443442
(1100,1135)(852666,898885)(850000,900000)	chr01	875000	37	0.435073
(1105,1160)(860727,909640)(860000,910000)	chr01	885000	57	0.330221
(1108,1190)(876147,916778)(870000,920000)	chr01	895000	84	0.266480
(1114,1217)(881512,929364)(880000,930000)	chr01	905000	105	0.195750
(1126,1221)(893856,936207)(890000,940000)	chr01	915000	97	0.170634
(1136,1254)(902874,949937)(900000,950000)	chr01	925000	120	0.337625
(1161,1267)(911188,952812)(910000,960000)	chr01	935000	108	0.349055
(1191,1275)(921481,969688)(920000,970000)	chr01	945000	86	0.438833
(1218,1325)(933153,979790)(930000,980000)	chr01	955000	109	0.597780
(1222,1345)(941192,981690)(940000,990000)	chr01	965000	125	0.599171
(1255,1361)(951051,994392)(950000,1000000)	chr01	975000	108	0.619488
(1268,1363)(964396,1007159)(960000,1010000)	chr01	985000	97	0.652820
(1276,1399)(972160,1019757)(970000,1020000)	chr01	995000	125	0.583610
(1326,1402)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.498479
(1346,1416)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.378272
(1362,1435)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.271879
(1364,1436)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.369312
(1400,1449)(1023745,1066860)(1020000,1070000)	chr01	1045000	51	0.538258
(1403,1449)(1030079,1066860)(1030000,1080000)	chr01	1055000	48	0.538526
(1417,1459)(1040190,1088668)(1040000,1090000)	chr01	1065000	44	0.468710
(1436,1459)(1059222,1088668)(1050000,1100000)	chr01	1075000	25	0.537283
(1437,1464)(1060081,1106471)(1060000,1110000)	chr01	1085000	29	0.292141
(1450,1467)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.308341
(1450,1474)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.708653
(1460,1504)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.635586
