region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.838962
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.834054
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.826047
(17,92)(66768,109295)(60000,110000)	chr01	85000	77	0.805040
(24,166)(72927,119227)(70000,120000)	chr01	95000	144	0.654429
(59,191)(99745,121372)(80000,130000)	chr01	105000	134	0.577730
(59,219)(99745,131673)(90000,140000)	chr01	115000	162	0.601408
(61,234)(101120,148599)(100000,150000)	chr01	125000	175	0.586312
(93,259)(112439,159252)(110000,160000)	chr01	135000	168	0.540595
(167,280)(121114,169571)(120000,170000)	chr01	145000	115	0.594716
(192,287)(130856,175991)(130000,180000)	chr01	155000	97	0.642093
(220,290)(146066,183449)(140000,190000)	chr01	165000	72	0.565198
(235,302)(155765,197658)(150000,200000)	chr01	175000	69	0.671630
(260,327)(165376,204116)(160000,210000)	chr01	185000	69	0.544317
(281,362)(175855,216859)(170000,220000)	chr01	195000	83	0.498027
(288,384)(183430,229717)(180000,230000)	chr01	205000	98	0.654209
(291,384)(193065,229717)(190000,240000)	chr01	215000	95	0.654230
(303,422)(202400,249999)(200000,250000)	chr01	225000	121	0.745866
(328,459)(214936,258347)(210000,260000)	chr01	235000	133	0.782233
(363,478)(224519,268043)(220000,270000)	chr01	245000	117	0.818147
(385,505)(241035,278351)(230000,280000)	chr01	255000	122	0.814309
(385,519)(241035,286071)(240000,290000)	chr01	265000	136	0.808617
(423,523)(250021,291347)(250000,300000)	chr01	275000	102	0.803229
(460,538)(267752,305489)(260000,310000)	chr01	285000	80	0.827000
(479,538)(270347,305489)(270000,320000)	chr01	295000	61	0.841457
(506,550)(284710,324273)(280000,330000)	chr01	305000	46	0.870183
(520,576)(291296,339583)(290000,340000)	chr01	315000	58	0.907023
(524,582)(303105,348196)(300000,350000)	chr01	325000	60	0.903809
(539,600)(322110,359771)(310000,360000)	chr01	335000	63	0.833974
(539,608)(322110,360805)(320000,370000)	chr01	345000	71	0.834392
(551,627)(334023,373127)(330000,380000)	chr01	355000	78	0.759149
(577,630)(342750,384275)(340000,390000)	chr01	365000	55	0.719853
(583,638)(356572,399618)(350000,400000)	chr01	375000	57	0.715802
(601,648)(360718,406909)(360000,410000)	chr01	385000	49	0.787428
(609,682)(371165,418272)(370000,420000)	chr01	395000	75	0.730265
(628,691)(384248,426178)(380000,430000)	chr01	405000	65	0.777155
(631,691)(399494,426178)(390000,440000)	chr01	415000	62	0.764719
(639,691)(405929,426178)(400000,450000)	chr01	425000	54	0.780667
(649,704)(413073,458510)(410000,460000)	chr01	435000	57	0.715611
(683,704)(422091,458510)(420000,470000)	chr01	445000	23	0.852132
(692,717)(458290,477626)(430000,480000)	chr01	455000	27	0.545527
(692,741)(458290,489540)(440000,490000)	chr01	465000	51	0.512929
(692,751)(458290,497021)(450000,500000)	chr01	475000	61	0.571049
(705,751)(472791,497021)(460000,510000)	chr01	485000	48	0.581824
(705,752)(472791,519445)(470000,520000)	chr01	495000	49	0.586787
(718,773)(484534,527912)(480000,530000)	chr01	505000	57	0.590730
(742,773)(490388,527912)(490000,540000)	chr01	515000	33	0.693416
(752,775)(519445,546039)(500000,550000)	chr01	525000	25	0.620398
(752,775)(519445,546039)(510000,560000)	chr01	535000	25	0.620398
(753,782)(520967,567617)(520000,570000)	chr01	545000	31	0.549787
(774,782)(546012,567617)(530000,580000)	chr01	555000	10	0.341263
(774,782)(546012,567617)(540000,590000)	chr01	565000	10	0.341263
(776,798)(567497,598747)(550000,600000)	chr01	575000	24	0.617710
(776,819)(567497,609080)(560000,610000)	chr01	585000	45	0.639622
(783,819)(598538,609080)(570000,620000)	chr01	595000	38	0.684741
(783,819)(598538,609080)(580000,630000)	chr01	605000	38	0.684741
(783,841)(598538,639995)(590000,640000)	chr01	615000	60	0.638024
(799,844)(608808,647580)(600000,650000)	chr01	625000	47	0.661958
(820,844)(631986,647580)(610000,660000)	chr01	635000	26	0.664124
(820,844)(631986,647580)(620000,670000)	chr01	645000	26	0.664124
(820,848)(631986,679765)(630000,680000)	chr01	655000	30	0.674682
(842,848)(640931,679765)(640000,690000)	chr01	665000	8	0.868548
(845,851)(679713,699440)(650000,700000)	chr01	675000	8	0.636758
(845,873)(679713,705398)(660000,710000)	chr01	685000	30	0.738154
(845,883)(679713,710536)(670000,720000)	chr01	695000	40	0.624481
(849,918)(699339,726176)(680000,730000)	chr01	705000	71	0.658828
(849,951)(699339,736121)(690000,740000)	chr01	715000	104	0.636415
(852,957)(702035,749383)(700000,750000)	chr01	725000	107	0.641004
(874,960)(710398,754850)(710000,760000)	chr01	735000	88	0.605703
(884,996)(720265,768507)(720000,770000)	chr01	745000	114	0.705644
(919,1003)(730423,774383)(730000,780000)	chr01	755000	86	0.724253
(952,1004)(749258,780712)(740000,790000)	chr01	765000	54	0.765791
(958,1004)(751549,780712)(750000,800000)	chr01	775000	48	0.767336
(961,1008)(760149,800296)(760000,810000)	chr01	785000	49	0.781209
(997,1038)(771638,819725)(770000,820000)	chr01	795000	43	0.766535
(1004,1040)(780712,824471)(780000,830000)	chr01	805000	38	0.705393
(1005,1092)(800261,839979)(790000,840000)	chr01	815000	89	0.760179
(1005,1093)(800261,849991)(800000,850000)	chr01	825000	90	0.757180
(1009,1098)(816740,852734)(810000,860000)	chr01	835000	91	0.737464
(1039,1101)(824403,860813)(820000,870000)	chr01	845000	64	0.755071
(1041,1107)(830052,877821)(830000,880000)	chr01	855000	68	0.742726
(1093,1113)(849991,888203)(840000,890000)	chr01	865000	22	0.670127
(1094,1118)(852666,898756)(850000,900000)	chr01	875000	26	0.754357
(1099,1143)(860727,909640)(860000,910000)	chr01	885000	46	0.686498
(1102,1173)(876147,916778)(870000,920000)	chr01	895000	73	0.601483
