region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.467398
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.429050
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.422479
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.675041
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.632962
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.653720
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.620944
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.661481
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.516316
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.571977
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.594199
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.628755
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.541880
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.570917
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.472175
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.544696
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.548113
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.563236
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.558111
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.524059
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.455338
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.441777
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.392566
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.410769
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.491423
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.490163
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.603279
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.604527
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.526263
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.541275
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.613437
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.636745
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.616420
(631,681)(360718,406783)(360000,410000)	chr01	385000	52	0.814263
(639,708)(371165,418272)(370000,420000)	chr01	395000	71	0.762037
(658,717)(384248,426178)(380000,430000)	chr01	405000	61	0.772936
(661,717)(399494,426178)(390000,440000)	chr01	415000	58	0.751947
(669,737)(405929,447446)(400000,450000)	chr01	425000	70	0.777816
(682,750)(413073,458510)(410000,460000)	chr01	435000	70	0.777574
