region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.833329
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.695959
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.736886
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.720872
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.715223
(19,94)(66768,109295)(60000,110000)	chr01	85000	77	0.688129
(26,168)(72927,119227)(70000,120000)	chr01	95000	144	0.593423
(61,193)(99745,121372)(80000,130000)	chr01	105000	134	0.532159
(61,221)(99745,131673)(90000,140000)	chr01	115000	162	0.560272
(63,236)(101120,148599)(100000,150000)	chr01	125000	175	0.520717
(95,261)(112439,159252)(110000,160000)	chr01	135000	168	0.572313
(169,282)(121114,169571)(120000,170000)	chr01	145000	115	0.726808
(194,289)(130856,175991)(130000,180000)	chr01	155000	97	0.762158
(222,292)(146066,183449)(140000,190000)	chr01	165000	72	0.783544
(237,299)(155765,197658)(150000,200000)	chr01	175000	64	0.837201
(262,324)(165376,204116)(160000,210000)	chr01	185000	64	0.819301
(283,359)(175855,216859)(170000,220000)	chr01	195000	78	0.830588
(290,381)(183430,229717)(180000,230000)	chr01	205000	93	0.815677
(293,381)(195626,229717)(190000,240000)	chr01	215000	90	0.803562
(300,419)(202400,249999)(200000,250000)	chr01	225000	121	0.786534
(325,456)(214936,258347)(210000,260000)	chr01	235000	133	0.727737
(360,475)(224519,268043)(220000,270000)	chr01	245000	117	0.555160
(382,504)(241035,278351)(230000,280000)	chr01	255000	124	0.548952
(382,528)(241035,286093)(240000,290000)	chr01	265000	148	0.572919
(420,537)(250021,296664)(250000,300000)	chr01	275000	119	0.515919
(457,555)(267752,305489)(260000,310000)	chr01	285000	100	0.602907
(476,555)(270347,305489)(270000,320000)	chr01	295000	81	0.726221
(505,567)(281515,324273)(280000,330000)	chr01	305000	64	0.750183
(529,593)(291233,339583)(290000,340000)	chr01	315000	66	0.756762
(538,599)(303105,348196)(300000,350000)	chr01	325000	63	0.745413
(556,617)(322110,359771)(310000,360000)	chr01	335000	63	0.669316
(556,625)(322110,360805)(320000,370000)	chr01	345000	71	0.630878
(568,644)(334023,373127)(330000,380000)	chr01	355000	78	0.597550
(594,644)(342750,373127)(340000,390000)	chr01	365000	52	0.500389
(600,652)(356572,399618)(350000,400000)	chr01	375000	54	0.463832
(618,665)(360718,406783)(360000,410000)	chr01	385000	49	0.674515
(626,692)(371165,418272)(370000,420000)	chr01	395000	68	0.622761
(645,701)(399494,426178)(380000,430000)	chr01	405000	58	0.687906
(645,701)(399494,426178)(390000,440000)	chr01	415000	58	0.687906
(653,703)(405929,447272)(400000,450000)	chr01	425000	52	0.727514
(666,703)(413073,447272)(410000,460000)	chr01	435000	39	0.595333
(693,703)(422091,447272)(420000,470000)	chr01	445000	12	0.878549
(702,716)(447245,477626)(430000,480000)	chr01	455000	16	0.590610
(702,737)(447245,489386)(440000,490000)	chr01	465000	37	0.641361
(704,748)(472791,497075)(450000,500000)	chr01	475000	46	0.708011
(704,748)(472791,497075)(460000,510000)	chr01	485000	46	0.708011
(704,749)(472791,519445)(470000,520000)	chr01	495000	47	0.686904
(717,761)(482579,525090)(480000,530000)	chr01	505000	46	0.741105
(738,761)(490388,525090)(490000,540000)	chr01	515000	25	0.789373
(749,763)(519445,546039)(500000,550000)	chr01	525000	16	0.738691
(749,764)(519445,556579)(510000,560000)	chr01	535000	17	0.735989
(750,771)(520967,567617)(520000,570000)	chr01	545000	23	0.698313
(762,771)(546012,567617)(530000,580000)	chr01	555000	11	0.129118
(762,771)(546012,567617)(540000,590000)	chr01	565000	11	0.129118
(764,787)(556579,598747)(550000,600000)	chr01	575000	25	0.461383
(765,808)(567497,609080)(560000,610000)	chr01	585000	45	0.490191
(772,808)(598538,609080)(570000,620000)	chr01	595000	38	0.543344
(772,817)(598538,622801)(580000,630000)	chr01	605000	47	0.536414
(772,839)(598538,639995)(590000,640000)	chr01	615000	69	0.404565
(788,843)(608808,647580)(600000,650000)	chr01	625000	57	0.486540
(809,843)(622726,647580)(610000,660000)	chr01	635000	36	0.468066
(809,847)(622726,664510)(620000,670000)	chr01	645000	40	0.467728
(818,847)(631986,664510)(630000,680000)	chr01	655000	31	0.468870
(840,851)(640931,687537)(640000,690000)	chr01	665000	13	0.732738
(844,854)(664448,699440)(650000,700000)	chr01	675000	12	0.542607
(844,876)(664448,705398)(660000,710000)	chr01	685000	34	0.521982
(848,886)(687435,710536)(670000,720000)	chr01	695000	40	0.473102
(848,921)(687435,726176)(680000,730000)	chr01	705000	75	0.525116
(852,954)(699339,736121)(690000,740000)	chr01	715000	104	0.487456
(855,960)(702035,749383)(700000,750000)	chr01	725000	107	0.491363
(877,962)(710398,751567)(710000,760000)	chr01	735000	87	0.484667
(887,1000)(720265,768507)(720000,770000)	chr01	745000	115	0.546214
(922,1005)(730423,774383)(730000,780000)	chr01	755000	85	0.570438
(955,1006)(749258,780712)(740000,790000)	chr01	765000	53	0.620933
(961,1006)(751549,780712)(750000,800000)	chr01	775000	47	0.625254
(963,1010)(760149,800296)(760000,810000)	chr01	785000	49	0.620320
(1001,1040)(774173,819725)(770000,820000)	chr01	795000	41	0.670327
(1006,1042)(780712,824471)(780000,830000)	chr01	805000	38	0.510791
(1007,1096)(800261,839979)(790000,840000)	chr01	815000	91	0.444536
(1007,1097)(800261,849991)(800000,850000)	chr01	825000	92	0.444495
(1011,1102)(816740,852734)(810000,860000)	chr01	835000	93	0.467049
(1041,1105)(824403,860813)(820000,870000)	chr01	845000	66	0.443431
(1043,1111)(830052,877821)(830000,880000)	chr01	855000	70	0.450860
(1097,1121)(849991,888203)(840000,890000)	chr01	865000	26	0.602027
(1098,1122)(852666,898756)(850000,900000)	chr01	875000	26	0.601966
(1103,1147)(860727,909640)(860000,910000)	chr01	885000	46	0.594395
(1106,1177)(876147,916778)(870000,920000)	chr01	895000	73	0.456280
(1112,1204)(885300,929364)(880000,930000)	chr01	905000	94	0.443668
(1122,1208)(898756,936207)(890000,940000)	chr01	915000	88	0.426422
(1123,1241)(902874,949937)(900000,950000)	chr01	925000	120	0.421168
(1148,1254)(911188,952812)(910000,960000)	chr01	935000	108	0.389225
(1178,1259)(921481,969688)(920000,970000)	chr01	945000	83	0.485977
(1205,1284)(933153,979790)(930000,980000)	chr01	955000	81	0.688218
(1209,1304)(941192,981690)(940000,990000)	chr01	965000	97	0.733151
(1242,1320)(951051,994392)(950000,1000000)	chr01	975000	80	0.811692
(1255,1322)(964396,1007159)(960000,1010000)	chr01	985000	69	0.855078
(1260,1358)(972160,1019757)(970000,1020000)	chr01	995000	100	0.774953
(1285,1361)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.731152
(1305,1375)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.690994
(1321,1394)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.685496
(1323,1395)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.680894
(1359,1408)(1023745,1066860)(1020000,1070000)	chr01	1045000	51	0.789278
(1362,1408)(1030079,1066860)(1030000,1080000)	chr01	1055000	48	0.790023
(1376,1418)(1040190,1088668)(1040000,1090000)	chr01	1065000	44	0.829836
(1395,1418)(1059222,1088668)(1050000,1100000)	chr01	1075000	25	0.836230
(1396,1423)(1060081,1106471)(1060000,1110000)	chr01	1085000	29	0.803696
(1409,1426)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.774737
(1409,1433)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.871523
(1419,1463)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.823150
(1419,1483)(1106311,1148852)(1100000,1150000)	chr01	1125000	66	0.817846
(1424,1485)(1110213,1156484)(1110000,1160000)	chr01	1135000	63	0.825608
(1427,1513)(1125674,1169984)(1120000,1170000)	chr01	1145000	88	0.798688
