region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.803619
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.557806
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.559953
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.560100
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.481342
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.404768
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.370316
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.284208
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.322680
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.312891
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.324164
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.304161
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.321875
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.265069
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.277948
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.236104
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.298952
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.316997
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.288533
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.280986
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.332226
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.271076
(389,513)(241035,278351)(230000,280000)	chr01	255000	126	0.234084
(389,537)(241035,286093)(240000,290000)	chr01	265000	150	0.294420
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.316685
(466,564)(267752,305489)(260000,310000)	chr01	285000	100	0.260407
(485,564)(270347,305489)(270000,320000)	chr01	295000	81	0.372087
(514,576)(281515,324273)(280000,330000)	chr01	305000	64	0.444332
(538,602)(291233,339583)(290000,340000)	chr01	315000	66	0.279239
(547,608)(303105,348196)(300000,350000)	chr01	325000	63	0.247713
(565,626)(322110,359771)(310000,360000)	chr01	335000	63	0.232027
(565,634)(322110,360805)(320000,370000)	chr01	345000	71	0.231094
(577,653)(334023,373127)(330000,380000)	chr01	355000	78	0.169098
(603,656)(342750,384275)(340000,390000)	chr01	365000	55	0.146264
(609,664)(356572,399618)(350000,400000)	chr01	375000	57	0.159749
(627,678)(360718,406909)(360000,410000)	chr01	385000	53	0.224004
(635,716)(371165,418272)(370000,420000)	chr01	395000	83	0.218499
(654,725)(384248,426178)(380000,430000)	chr01	405000	73	0.322671
(657,725)(399494,426178)(390000,440000)	chr01	415000	70	0.326086
(665,733)(405929,447272)(400000,450000)	chr01	425000	70	0.342977
(679,746)(412909,458510)(410000,460000)	chr01	435000	69	0.432605
(717,746)(422091,458510)(420000,470000)	chr01	445000	31	0.670997
(726,759)(447168,477626)(430000,480000)	chr01	455000	35	0.503788
(726,785)(447168,489540)(440000,490000)	chr01	465000	61	0.506067
(734,796)(458290,497075)(450000,500000)	chr01	475000	64	0.503307
(747,796)(472791,497075)(460000,510000)	chr01	485000	51	0.386691
(747,797)(472791,519445)(470000,520000)	chr01	495000	52	0.376954
(760,818)(482579,527912)(480000,530000)	chr01	505000	60	0.467945
(786,818)(490388,527912)(490000,540000)	chr01	515000	34	0.412219
(797,820)(519445,546039)(500000,550000)	chr01	525000	25	0.420465
(797,821)(519445,556579)(510000,560000)	chr01	535000	26	0.419702
(798,828)(520967,567617)(520000,570000)	chr01	545000	32	0.341484
(819,828)(546012,567617)(530000,580000)	chr01	555000	11	0.129501
(819,828)(546012,567617)(540000,590000)	chr01	565000	11	0.129501
(821,844)(556579,598747)(550000,600000)	chr01	575000	25	0.302350
(822,865)(567497,609080)(560000,610000)	chr01	585000	45	0.234375
(829,865)(598538,609080)(570000,620000)	chr01	595000	38	0.258385
(829,874)(598538,622801)(580000,630000)	chr01	605000	47	0.235711
(829,896)(598538,639995)(590000,640000)	chr01	615000	69	0.320267
(845,900)(608808,647580)(600000,650000)	chr01	625000	57	0.330912
(866,900)(622726,647580)(610000,660000)	chr01	635000	36	0.433407
(866,904)(622726,664510)(620000,670000)	chr01	645000	40	0.424139
(875,904)(631986,664510)(630000,680000)	chr01	655000	31	0.492871
(897,908)(640931,687537)(640000,690000)	chr01	665000	13	0.529107
(901,911)(664448,699440)(650000,700000)	chr01	675000	12	0.464885
(901,933)(664448,705398)(660000,710000)	chr01	685000	34	0.501699
(905,943)(687435,710536)(670000,720000)	chr01	695000	40	0.473160
(905,978)(687435,726176)(680000,730000)	chr01	705000	75	0.431254
(909,1011)(699339,736121)(690000,740000)	chr01	715000	104	0.367514
(912,1017)(702035,749383)(700000,750000)	chr01	725000	107	0.367295
(934,1020)(710398,754850)(710000,760000)	chr01	735000	88	0.308848
(944,1060)(720265,768507)(720000,770000)	chr01	745000	118	0.350690
(979,1067)(730423,774383)(730000,780000)	chr01	755000	90	0.332532
(1012,1068)(749258,780712)(740000,790000)	chr01	765000	58	0.400014
(1018,1068)(751549,780712)(750000,800000)	chr01	775000	52	0.408237
(1021,1072)(760149,800296)(760000,810000)	chr01	785000	53	0.456244
(1061,1102)(771638,819725)(770000,820000)	chr01	795000	43	0.712311
(1068,1104)(780712,824471)(780000,830000)	chr01	805000	38	0.739210
(1069,1158)(800261,839979)(790000,840000)	chr01	815000	91	0.694965
(1069,1159)(800261,849991)(800000,850000)	chr01	825000	92	0.694888
(1073,1164)(816740,852734)(810000,860000)	chr01	835000	93	0.699832
(1103,1167)(824403,860813)(820000,870000)	chr01	845000	66	0.627385
(1105,1173)(830052,877821)(830000,880000)	chr01	855000	70	0.623230
(1159,1185)(849991,888203)(840000,890000)	chr01	865000	28	0.570581
(1160,1197)(852666,898885)(850000,900000)	chr01	875000	39	0.754390
(1165,1222)(860727,909640)(860000,910000)	chr01	885000	59	0.726007
