region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.608827
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.459234
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.377748
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.377555
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.301758
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.467366
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.440659
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.429342
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.443433
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.432438
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.386431
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.402632
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.431397
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.398626
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.426025
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.385956
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.569370
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.563681
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.565842
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.533621
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.550440
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.327323
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.301249
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.364792
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.418766
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.310154
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.397258
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.424940
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.292637
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.247830
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.204758
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.229105
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.212184
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.181958
(608,662)(356572,399618)(350000,400000)	chr01	375000	56	0.217228
(626,676)(360718,406909)(360000,410000)	chr01	385000	52	0.313768
(634,714)(371165,418272)(370000,420000)	chr01	395000	82	0.336199
(653,723)(384248,426178)(380000,430000)	chr01	405000	72	0.392660
(656,723)(399494,426178)(390000,440000)	chr01	415000	69	0.392678
(663,723)(405929,426178)(400000,450000)	chr01	425000	62	0.398058
