region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.543782
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.520978
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.439608
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.522120
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.521543
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.542380
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.542840
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.519084
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.463727
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.379721
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.397977
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.328176
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.300372
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.447590
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.606743
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.659275
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.664104
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.736074
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.769795
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.788135
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.779677
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.755782
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.731828
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.649838
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.652846
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.669432
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.717996
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.740284
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.827939
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.827810
(570,635)(334023,373127)(330000,380000)	chr01	355000	67	0.744957
(586,638)(342750,384275)(340000,390000)	chr01	365000	54	0.708549
(592,646)(356572,399618)(350000,400000)	chr01	375000	56	0.635303
(609,654)(360718,406783)(360000,410000)	chr01	385000	47	0.586334
(617,690)(371165,418272)(370000,420000)	chr01	395000	75	0.717211
(636,699)(384248,426178)(380000,430000)	chr01	405000	65	0.703932
