region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.594989
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.595084
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.555662
(24,94)(66768,109295)(60000,110000)	chr01	85000	72	0.564337
(31,168)(72990,119227)(70000,120000)	chr01	95000	139	0.585866
(59,193)(99745,121372)(80000,130000)	chr01	105000	136	0.568089
(59,221)(99745,131673)(90000,140000)	chr01	115000	164	0.592397
(61,236)(101120,148599)(100000,150000)	chr01	125000	177	0.579574
(95,261)(112439,159252)(110000,160000)	chr01	135000	168	0.649197
(169,282)(121114,169571)(120000,170000)	chr01	145000	115	0.722224
(194,289)(130856,175991)(130000,180000)	chr01	155000	97	0.757068
(222,292)(146066,183449)(140000,190000)	chr01	165000	72	0.767939
(237,299)(155765,197658)(150000,200000)	chr01	175000	64	0.813985
(262,317)(165376,204116)(160000,210000)	chr01	185000	57	0.787264
(283,352)(175855,216859)(170000,220000)	chr01	195000	71	0.782687
(290,374)(183430,229717)(180000,230000)	chr01	205000	86	0.793096
(293,374)(195626,229717)(190000,240000)	chr01	215000	83	0.802010
(300,412)(202400,249999)(200000,250000)	chr01	225000	114	0.799739
(318,444)(214936,257533)(210000,260000)	chr01	235000	128	0.814320
(353,463)(224519,268043)(220000,270000)	chr01	245000	112	0.794389
(375,492)(241035,278351)(230000,280000)	chr01	255000	119	0.811475
(375,516)(241035,286093)(240000,290000)	chr01	265000	143	0.804925
(413,525)(250021,296664)(250000,300000)	chr01	275000	114	0.802269
(445,547)(267752,307842)(260000,310000)	chr01	285000	104	0.739716
(464,548)(270347,317230)(270000,320000)	chr01	295000	86	0.762847
(493,560)(281515,324273)(280000,330000)	chr01	305000	69	0.764899
(517,576)(291233,339583)(290000,340000)	chr01	315000	61	0.786678
(526,582)(303105,348196)(300000,350000)	chr01	325000	58	0.807778
(548,599)(317230,359771)(310000,360000)	chr01	335000	53	0.903495
(549,607)(322110,360805)(320000,370000)	chr01	345000	60	0.881110
(561,626)(334023,373127)(330000,380000)	chr01	355000	67	0.834518
(577,626)(342750,373127)(340000,390000)	chr01	365000	51	0.815959
(583,634)(356572,399618)(350000,400000)	chr01	375000	53	0.726313
(600,642)(360718,406783)(360000,410000)	chr01	385000	44	0.570014
(608,669)(371165,418272)(370000,420000)	chr01	395000	63	0.515352
(627,678)(399494,426178)(380000,430000)	chr01	405000	53	0.443289
(627,678)(399494,426178)(390000,440000)	chr01	415000	53	0.443289
(635,680)(405929,447272)(400000,450000)	chr01	425000	47	0.474803
(643,680)(413073,447272)(410000,460000)	chr01	435000	39	0.425072
(670,680)(422091,447272)(420000,470000)	chr01	445000	12	0.209717
(679,693)(447245,477626)(430000,480000)	chr01	455000	16	0.313665
(679,703)(447245,489386)(440000,490000)	chr01	465000	26	0.856279
(681,714)(472791,497075)(450000,500000)	chr01	475000	35	0.828668
(681,714)(472791,497075)(460000,510000)	chr01	485000	35	0.828668
(681,715)(472791,519445)(470000,520000)	chr01	495000	36	0.811509
(694,727)(482579,525090)(480000,530000)	chr01	505000	35	0.850213
(704,727)(490388,525090)(490000,540000)	chr01	515000	25	0.828263
(715,729)(519445,546039)(500000,550000)	chr01	525000	16	0.847907
(715,730)(519445,556579)(510000,560000)	chr01	535000	17	0.847450
(716,737)(520967,567617)(520000,570000)	chr01	545000	23	0.794958
(728,737)(546012,567617)(530000,580000)	chr01	555000	11	0.223344
(728,737)(546012,567617)(540000,590000)	chr01	565000	11	0.223344
(730,753)(556579,598747)(550000,600000)	chr01	575000	25	0.372991
(731,774)(567497,609080)(560000,610000)	chr01	585000	45	0.371384
(738,779)(598538,615712)(570000,620000)	chr01	595000	43	0.770223
(738,793)(598538,629014)(580000,630000)	chr01	605000	57	0.660711
(738,815)(598538,639995)(590000,640000)	chr01	615000	79	0.475950
(754,819)(608808,647580)(600000,650000)	chr01	625000	67	0.452466
(775,819)(615625,647580)(610000,660000)	chr01	635000	46	0.453204
(780,831)(622726,664539)(620000,670000)	chr01	645000	53	0.285755
(794,898)(631986,679765)(630000,680000)	chr01	655000	106	0.375830
(816,900)(640931,687635)(640000,690000)	chr01	665000	86	0.398719
(820,903)(664341,699440)(650000,700000)	chr01	675000	85	0.423561
(820,922)(664341,705398)(660000,710000)	chr01	685000	104	0.408174
(832,932)(670057,710536)(670000,720000)	chr01	695000	102	0.404610
(899,967)(687594,726176)(680000,730000)	chr01	705000	70	0.485105
(901,1000)(699339,736121)(690000,740000)	chr01	715000	101	0.494842
(904,1006)(702035,749383)(700000,750000)	chr01	725000	104	0.472797
(923,1008)(710398,751567)(710000,760000)	chr01	735000	87	0.506759
(933,1042)(720265,768507)(720000,770000)	chr01	745000	111	0.474027
(968,1047)(730423,774383)(730000,780000)	chr01	755000	81	0.429578
(1001,1048)(749258,780712)(740000,790000)	chr01	765000	49	0.351097
(1007,1048)(751549,780712)(750000,800000)	chr01	775000	43	0.353781
(1009,1052)(760149,800296)(760000,810000)	chr01	785000	45	0.319399
(1043,1082)(774173,819725)(770000,820000)	chr01	795000	41	0.599556
(1048,1084)(780712,824471)(780000,830000)	chr01	805000	38	0.558689
(1049,1135)(800261,839864)(790000,840000)	chr01	815000	88	0.567359
(1049,1136)(800261,849991)(800000,850000)	chr01	825000	89	0.567085
(1053,1143)(816740,855718)(810000,860000)	chr01	835000	92	0.651718
(1083,1146)(824403,860813)(820000,870000)	chr01	845000	65	0.597262
(1085,1152)(830052,877821)(830000,880000)	chr01	855000	69	0.639997
(1136,1162)(849991,888203)(840000,890000)	chr01	865000	28	0.685907
(1137,1163)(852666,898756)(850000,900000)	chr01	875000	28	0.686246
(1144,1181)(860727,909640)(860000,910000)	chr01	885000	39	0.711869
(1147,1209)(876147,916778)(870000,920000)	chr01	895000	64	0.531045
(1153,1223)(885300,929364)(880000,930000)	chr01	905000	72	0.434887
(1163,1227)(898756,936207)(890000,940000)	chr01	915000	66	0.404046
(1164,1260)(902874,949937)(900000,950000)	chr01	925000	98	0.712704
(1182,1273)(911188,952812)(910000,960000)	chr01	935000	93	0.699603
(1210,1278)(929275,969688)(920000,970000)	chr01	945000	70	0.790946
(1224,1300)(933153,979790)(930000,980000)	chr01	955000	78	0.845113
(1228,1320)(941192,981690)(940000,990000)	chr01	965000	94	0.810954
(1261,1336)(951051,994392)(950000,1000000)	chr01	975000	77	0.726786
(1274,1338)(964396,1007159)(960000,1010000)	chr01	985000	66	0.751239
(1279,1374)(972160,1019757)(970000,1020000)	chr01	995000	97	0.658128
(1301,1377)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.631923
(1321,1391)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.663009
(1337,1410)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.647042
(1339,1411)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.649896
(1375,1427)(1023745,1067383)(1020000,1070000)	chr01	1045000	54	0.708224
(1378,1427)(1030079,1067383)(1030000,1080000)	chr01	1055000	51	0.708635
(1392,1449)(1040190,1088668)(1040000,1090000)	chr01	1065000	59	0.639136
(1411,1449)(1059222,1088668)(1050000,1100000)	chr01	1075000	40	0.552117
(1412,1454)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.519787
(1428,1468)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.748316
(1428,1480)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.795466
(1450,1511)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.781135
(1450,1531)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.726572
(1455,1533)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.725461
(1469,1561)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.663520
(1481,1568)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.593847
(1512,1572)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.583324
(1532,1579)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.676315
(1534,1587)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.663272
(1562,1601)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.553318
(1569,1601)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.643641
(1573,1620)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.547975
(1580,1626)(1202564,1247876)(1200000,1250000)	chr01	1225000	48	0.297234
(1588,1626)(1215791,1247876)(1210000,1260000)	chr01	1235000	40	0.300062
(1602,1631)(1230664,1266942)(1220000,1270000)	chr01	1245000	31	0.428173
(1602,1637)(1230664,1271087)(1230000,1280000)	chr01	1255000	37	0.546600
(1621,1652)(1242138,1287173)(1240000,1290000)	chr01	1265000	33	0.649134
(1627,1655)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.675965
(1627,1698)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.614326
(1632,1706)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.646827
(1638,1715)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.628693
(1653,1739)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.604122
(1656,1773)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.571211
(1699,1777)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.558481
(1707,1789)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.522079
(1716,1808)(1330096,1376887)(1330000,1380000)	chr01	1355000	94	0.619141
(1740,1810)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.657612
(1774,1867)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.655878
(1778,1904)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.683795
(1790,1924)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.691073
(1809,1946)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.718044
(1811,1954)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.715585
(1868,1976)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.780251
(1905,1976)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.774467
(1925,1992)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.802697
(1947,2003)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.465332
(1955,2012)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.491245
(1977,2024)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.355435
(1977,2024)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.355435
(1993,2026)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.299908
(2004,2052)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.267963
(2013,2058)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.178887
(2025,2073)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.227526
(2025,2080)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.227526
(2027,2085)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.177371
(2053,2095)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.072281
(2059,2107)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.356334
(2074,2125)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.380160
(2081,2144)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.462950
(2086,2165)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.504559
(2096,2177)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.571061
(2108,2177)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.501121
(2126,2207)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.555409
(2145,2231)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.497739
(2166,2250)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.600114
(2178,2282)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.682341
(2178,2289)(1641495,1686820)(1640000,1690000)	chr01	1665000	113	0.677515
(2208,2291)(1655037,1694770)(1650000,1700000)	chr01	1675000	85	0.726825
(2232,2291)(1666837,1694770)(1660000,1710000)	chr01	1685000	61	0.778313
(2251,2292)(1672203,1718665)(1670000,1720000)	chr01	1695000	43	0.788491
(2283,2305)(1686691,1726909)(1680000,1730000)	chr01	1705000	24	0.763062
(2290,2345)(1694769,1738652)(1690000,1740000)	chr01	1715000	57	0.731456
(2292,2351)(1718665,1746953)(1700000,1750000)	chr01	1725000	61	0.682747
(2292,2366)(1718665,1751147)(1710000,1760000)	chr01	1735000	76	0.631568
(2293,2390)(1726685,1768287)(1720000,1770000)	chr01	1745000	99	0.601481
(2306,2407)(1730802,1778629)(1730000,1780000)	chr01	1755000	103	0.337402
(2346,2429)(1744193,1788908)(1740000,1790000)	chr01	1765000	85	0.171876
(2352,2429)(1750964,1788908)(1750000,1800000)	chr01	1775000	79	0.159450
(2367,2437)(1760369,1809286)(1760000,1810000)	chr01	1785000	72	0.141026
(2391,2468)(1775143,1819814)(1770000,1820000)	chr01	1795000	79	0.148804
(2408,2499)(1785664,1829936)(1780000,1830000)	chr01	1805000	93	0.080873
(2430,2506)(1808990,1834989)(1790000,1840000)	chr01	1815000	78	0.065762
(2430,2522)(1808990,1845832)(1800000,1850000)	chr01	1825000	94	0.151252
(2438,2531)(1810310,1857922)(1810000,1860000)	chr01	1835000	95	0.143041
(2469,2531)(1820045,1857922)(1820000,1870000)	chr01	1845000	64	0.128793
(2500,2532)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.223345
(2507,2557)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.331318
(2523,2560)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.205028
(2532,2560)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.402166
(2532,2560)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.402166
