region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.702174
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.687543
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.712841
(17,93)(66768,109295)(60000,110000)	chr01	85000	78	0.729259
(24,167)(72927,119227)(70000,120000)	chr01	95000	145	0.641775
(59,192)(99745,121372)(80000,130000)	chr01	105000	135	0.613718
(59,220)(99745,131673)(90000,140000)	chr01	115000	163	0.651409
(61,235)(101120,148599)(100000,150000)	chr01	125000	176	0.612322
(94,260)(112439,159252)(110000,160000)	chr01	135000	168	0.574553
(168,281)(121114,169571)(120000,170000)	chr01	145000	115	0.550264
(193,288)(130856,175991)(130000,180000)	chr01	155000	97	0.573448
(221,291)(146066,183449)(140000,190000)	chr01	165000	72	0.357312
(236,303)(155765,197658)(150000,200000)	chr01	175000	69	0.503532
(261,328)(165376,204116)(160000,210000)	chr01	185000	69	0.662123
(282,362)(175855,216832)(170000,220000)	chr01	195000	82	0.840751
(289,384)(183430,229717)(180000,230000)	chr01	205000	97	0.851928
(292,384)(193065,229717)(190000,240000)	chr01	215000	94	0.861671
(304,424)(202400,249999)(200000,250000)	chr01	225000	122	0.833215
(329,461)(214936,258347)(210000,260000)	chr01	235000	134	0.814406
(363,480)(224519,268043)(220000,270000)	chr01	245000	119	0.629876
(385,508)(241035,278351)(230000,280000)	chr01	255000	125	0.566184
(385,532)(241035,286093)(240000,290000)	chr01	265000	149	0.600351
(425,541)(250021,296664)(250000,300000)	chr01	275000	118	0.567632
(462,559)(267752,305489)(260000,310000)	chr01	285000	99	0.423089
(481,559)(270347,305489)(270000,320000)	chr01	295000	80	0.549961
(509,571)(281515,324273)(280000,330000)	chr01	305000	64	0.578215
(533,591)(291233,339583)(290000,340000)	chr01	315000	60	0.673322
(542,597)(303105,348196)(300000,350000)	chr01	325000	57	0.695467
(560,614)(322110,359771)(310000,360000)	chr01	335000	56	0.762719
(560,622)(322110,360805)(320000,370000)	chr01	345000	64	0.766053
(572,641)(336747,373127)(330000,380000)	chr01	355000	71	0.736162
