region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.750122
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.738800
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.673428
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.679115
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.595420
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.552018
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.531369
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.538801
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.490483
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.484425
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.502833
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.611354
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.571265
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.573563
(290,364)(175855,216859)(170000,220000)	chr01	195000	76	0.754494
(297,386)(183430,229717)(180000,230000)	chr01	205000	91	0.755524
(300,386)(193065,229717)(190000,240000)	chr01	215000	88	0.747872
(312,424)(202400,249999)(200000,250000)	chr01	225000	114	0.743087
(337,461)(215040,258347)(210000,260000)	chr01	235000	126	0.720538
(365,480)(224519,268043)(220000,270000)	chr01	245000	117	0.686287
(387,507)(241035,278351)(230000,280000)	chr01	255000	122	0.689148
(387,521)(241035,286071)(240000,290000)	chr01	265000	136	0.678988
(425,525)(250021,291347)(250000,300000)	chr01	275000	102	0.664598
(462,544)(267752,307842)(260000,310000)	chr01	285000	84	0.745076
(481,544)(270347,307842)(270000,320000)	chr01	295000	65	0.732566
(508,556)(284710,324273)(280000,330000)	chr01	305000	50	0.779146
(522,582)(291296,339583)(290000,340000)	chr01	315000	62	0.869082
(526,588)(303105,348196)(300000,350000)	chr01	325000	64	0.870995
(545,606)(322110,359771)(310000,360000)	chr01	335000	63	0.803390
(545,614)(322110,360805)(320000,370000)	chr01	345000	71	0.806540
(557,633)(334023,373127)(330000,380000)	chr01	355000	78	0.783040
(583,636)(342750,384275)(340000,390000)	chr01	365000	55	0.746297
(589,644)(356572,399618)(350000,400000)	chr01	375000	57	0.742464
