region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.593743
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.566481
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.424662
(24,98)(66768,109295)(60000,110000)	chr01	85000	76	0.646089
(31,172)(72927,119227)(70000,120000)	chr01	95000	143	0.703531
(66,197)(99745,121372)(80000,130000)	chr01	105000	133	0.732340
(66,225)(99745,131673)(90000,140000)	chr01	115000	161	0.725588
(68,240)(101120,148599)(100000,150000)	chr01	125000	174	0.715002
(99,265)(112439,159252)(110000,160000)	chr01	135000	168	0.731328
(173,286)(121114,169571)(120000,170000)	chr01	145000	115	0.790490
(198,293)(130856,175991)(130000,180000)	chr01	155000	97	0.816028
(226,296)(146066,183449)(140000,190000)	chr01	165000	72	0.842597
(241,303)(155765,197658)(150000,200000)	chr01	175000	64	0.864286
(266,328)(165376,204116)(160000,210000)	chr01	185000	64	0.869763
(287,363)(175855,216859)(170000,220000)	chr01	195000	78	0.892614
(294,383)(183430,229717)(180000,230000)	chr01	205000	91	0.863821
(297,383)(195626,229717)(190000,240000)	chr01	215000	88	0.858523
(304,421)(202400,249999)(200000,250000)	chr01	225000	119	0.848494
(329,457)(214936,257533)(210000,260000)	chr01	235000	130	0.827888
(364,476)(224519,268043)(220000,270000)	chr01	245000	114	0.608418
(384,505)(241035,278351)(230000,280000)	chr01	255000	123	0.577368
(384,529)(241035,286093)(240000,290000)	chr01	265000	147	0.565618
(422,538)(250021,296664)(250000,300000)	chr01	275000	118	0.459695
(458,560)(267752,307842)(260000,310000)	chr01	285000	104	0.542578
(477,561)(270347,317230)(270000,320000)	chr01	295000	86	0.639538
(506,573)(281515,324273)(280000,330000)	chr01	305000	69	0.647270
(530,599)(291233,339583)(290000,340000)	chr01	315000	71	0.734436
(539,605)(303105,348196)(300000,350000)	chr01	325000	68	0.743992
(561,623)(317230,359771)(310000,360000)	chr01	335000	64	0.760027
(562,631)(322110,360805)(320000,370000)	chr01	345000	71	0.728993
(574,650)(334023,373127)(330000,380000)	chr01	355000	78	0.789743
(600,650)(342750,373127)(340000,390000)	chr01	365000	52	0.773912
(606,658)(356572,399618)(350000,400000)	chr01	375000	54	0.725582
(624,671)(360718,406783)(360000,410000)	chr01	385000	49	0.832429
(632,698)(371165,418272)(370000,420000)	chr01	395000	68	0.759147
(651,707)(399494,426178)(380000,430000)	chr01	405000	58	0.761699
(651,707)(399494,426178)(390000,440000)	chr01	415000	58	0.761699
(659,709)(405929,447272)(400000,450000)	chr01	425000	52	0.787678
(672,709)(413073,447272)(410000,460000)	chr01	435000	39	0.677010
(699,709)(422091,447272)(420000,470000)	chr01	445000	12	0.891216
(708,722)(447245,477626)(430000,480000)	chr01	455000	16	0.855969
(708,743)(447245,489386)(440000,490000)	chr01	465000	37	0.903316
(710,754)(472791,497075)(450000,500000)	chr01	475000	46	0.894030
(710,754)(472791,497075)(460000,510000)	chr01	485000	46	0.894030
(710,755)(472791,519445)(470000,520000)	chr01	495000	47	0.878500
(723,767)(482579,525090)(480000,530000)	chr01	505000	46	0.869716
(744,767)(490388,525090)(490000,540000)	chr01	515000	25	0.837788
(755,769)(519445,546039)(500000,550000)	chr01	525000	16	0.805078
(755,770)(519445,556579)(510000,560000)	chr01	535000	17	0.804472
(756,777)(520967,567617)(520000,570000)	chr01	545000	23	0.763259
(768,777)(546012,567617)(530000,580000)	chr01	555000	11	0.145984
(768,777)(546012,567617)(540000,590000)	chr01	565000	11	0.145984
(770,793)(556579,598747)(550000,600000)	chr01	575000	25	0.366328
(771,814)(567497,609080)(560000,610000)	chr01	585000	45	0.402649
(778,819)(598538,615712)(570000,620000)	chr01	595000	43	0.583456
(778,833)(598538,629014)(580000,630000)	chr01	605000	57	0.600151
(778,855)(598538,639995)(590000,640000)	chr01	615000	79	0.579711
(794,859)(608808,647580)(600000,650000)	chr01	625000	67	0.660036
(815,859)(615625,647580)(610000,660000)	chr01	635000	46	0.686865
(820,871)(622726,664539)(620000,670000)	chr01	645000	53	0.555596
(834,938)(631986,679765)(630000,680000)	chr01	655000	106	0.495071
(856,944)(640931,687635)(640000,690000)	chr01	665000	90	0.520538
(860,947)(664341,699440)(650000,700000)	chr01	675000	89	0.501401
(860,951)(664341,702132)(660000,710000)	chr01	685000	93	0.502072
(872,961)(670057,710536)(670000,720000)	chr01	695000	91	0.566913
(939,990)(687435,726075)(680000,730000)	chr01	705000	53	0.776349
(945,1023)(699339,736121)(690000,740000)	chr01	715000	80	0.700544
(948,1029)(702035,749383)(700000,750000)	chr01	725000	83	0.698407
(952,1031)(710398,751567)(710000,760000)	chr01	735000	81	0.711808
(962,1040)(720265,768507)(720000,770000)	chr01	745000	80	0.600287
(991,1045)(730423,774383)(730000,780000)	chr01	755000	56	0.600450
(1024,1046)(749258,780712)(740000,790000)	chr01	765000	24	0.644823
(1030,1046)(751549,780712)(750000,800000)	chr01	775000	18	0.668842
(1032,1050)(768329,800296)(760000,810000)	chr01	785000	20	0.670244
(1041,1080)(774173,819725)(770000,820000)	chr01	795000	41	0.750759
(1046,1082)(780712,824471)(780000,830000)	chr01	805000	38	0.591872
(1047,1123)(800261,839979)(790000,840000)	chr01	815000	78	0.567167
(1047,1124)(800261,849991)(800000,850000)	chr01	825000	79	0.567107
(1051,1129)(816740,852734)(810000,860000)	chr01	835000	80	0.602672
(1081,1132)(824403,860813)(820000,870000)	chr01	845000	53	0.609064
(1083,1138)(830052,877821)(830000,880000)	chr01	855000	57	0.598741
(1124,1148)(849991,888203)(840000,890000)	chr01	865000	26	0.742812
(1125,1149)(852666,898756)(850000,900000)	chr01	875000	26	0.742773
(1130,1149)(860727,898756)(860000,910000)	chr01	885000	21	0.699798
(1133,1179)(876147,916778)(870000,920000)	chr01	895000	48	0.827763
(1139,1206)(885300,929364)(880000,930000)	chr01	905000	69	0.836847
(1149,1210)(898756,936207)(890000,940000)	chr01	915000	63	0.855016
(1150,1243)(911188,949937)(900000,950000)	chr01	925000	95	0.845509
(1150,1256)(911188,952812)(910000,960000)	chr01	935000	108	0.828314
(1180,1261)(921481,969688)(920000,970000)	chr01	945000	83	0.827391
(1207,1286)(933153,979790)(930000,980000)	chr01	955000	81	0.856909
(1211,1306)(941192,981690)(940000,990000)	chr01	965000	97	0.855501
(1244,1322)(951051,994392)(950000,1000000)	chr01	975000	80	0.855077
(1257,1324)(964396,1007159)(960000,1010000)	chr01	985000	69	0.872536
(1262,1360)(972160,1019757)(970000,1020000)	chr01	995000	100	0.776339
(1287,1363)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.730197
(1307,1377)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.683050
(1323,1396)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.710040
(1325,1396)(1010494,1046545)(1010000,1060000)	chr01	1035000	73	0.706617
(1361,1405)(1023745,1060127)(1020000,1070000)	chr01	1045000	46	0.822176
(1364,1405)(1030079,1060127)(1030000,1080000)	chr01	1055000	43	0.822994
(1378,1415)(1040190,1088668)(1040000,1090000)	chr01	1065000	39	0.865491
(1397,1415)(1060081,1088668)(1050000,1100000)	chr01	1075000	20	0.876044
(1397,1420)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.890140
(1406,1423)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.877476
(1406,1433)(1080464,1129684)(1080000,1130000)	chr01	1105000	29	0.927274
(1416,1460)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.862658
(1416,1477)(1106311,1148852)(1100000,1150000)	chr01	1125000	63	0.877616
(1421,1479)(1110213,1156484)(1110000,1160000)	chr01	1135000	60	0.875278
(1424,1507)(1125674,1169984)(1120000,1170000)	chr01	1145000	85	0.871166
(1434,1514)(1131938,1175775)(1130000,1180000)	chr01	1155000	82	0.805414
(1461,1518)(1141378,1187811)(1140000,1190000)	chr01	1165000	59	0.807397
(1478,1525)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.754958
(1480,1533)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.723813
(1508,1547)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.544397
(1515,1547)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.719941
(1519,1566)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.513976
(1526,1568)(1202564,1247876)(1200000,1250000)	chr01	1225000	44	0.290093
(1534,1568)(1215791,1247876)(1210000,1260000)	chr01	1235000	36	0.292019
(1548,1572)(1230664,1266942)(1220000,1270000)	chr01	1245000	26	0.338319
(1548,1578)(1230664,1271087)(1230000,1280000)	chr01	1255000	32	0.447590
(1567,1592)(1247842,1287173)(1240000,1290000)	chr01	1265000	27	0.781889
(1569,1593)(1260554,1299829)(1250000,1300000)	chr01	1275000	26	0.840542
(1569,1636)(1260554,1309752)(1260000,1310000)	chr01	1285000	69	0.883491
(1573,1644)(1271029,1311855)(1270000,1320000)	chr01	1295000	73	0.916855
(1579,1648)(1281877,1327006)(1280000,1330000)	chr01	1305000	71	0.919478
(1593,1672)(1299829,1339830)(1290000,1340000)	chr01	1315000	81	0.887671
(1594,1706)(1306965,1348194)(1300000,1350000)	chr01	1325000	114	0.832609
(1637,1710)(1311649,1355827)(1310000,1360000)	chr01	1335000	75	0.792757
(1645,1722)(1326979,1369999)(1320000,1370000)	chr01	1345000	79	0.762776
(1649,1741)(1330096,1376887)(1330000,1380000)	chr01	1355000	94	0.775455
(1673,1743)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.759732
(1707,1800)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.822609
(1711,1837)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.833420
(1723,1857)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.790439
(1742,1879)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.794867
(1744,1887)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.806191
(1801,1909)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.799922
(1838,1909)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.753798
(1858,1925)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.888885
(1880,1936)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.880634
(1888,1945)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.799289
(1910,1957)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.685292
(1910,1957)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.685292
(1926,1959)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.563607
(1937,1985)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.488999
(1946,1991)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.541045
(1958,2006)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.530996
(1958,2013)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.530994
(1960,2018)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.440563
(1986,2028)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.349696
(1992,2040)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.408315
(2007,2058)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.455500
(2014,2077)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.513667
(2019,2098)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.571581
(2029,2110)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.653349
(2041,2110)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.581965
(2059,2140)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.728468
(2078,2164)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.763399
(2099,2183)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.861612
(2111,2215)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.882323
(2111,2222)(1641495,1686820)(1640000,1690000)	chr01	1665000	113	0.880799
(2141,2224)(1655037,1694770)(1650000,1700000)	chr01	1675000	85	0.899610
(2165,2224)(1666837,1694770)(1660000,1710000)	chr01	1685000	61	0.906976
(2184,2225)(1672203,1718665)(1670000,1720000)	chr01	1695000	43	0.879967
(2216,2238)(1686691,1726909)(1680000,1730000)	chr01	1705000	24	0.829035
(2223,2278)(1694769,1738652)(1690000,1740000)	chr01	1715000	57	0.840198
(2225,2284)(1718665,1746953)(1700000,1750000)	chr01	1725000	61	0.841195
(2225,2299)(1718665,1751147)(1710000,1760000)	chr01	1735000	76	0.771844
