region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.496912
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.497102
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.495094
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.631285
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.618524
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.666342
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.631923
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.604560
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.374099
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.391657
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.387863
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.404732
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.367283
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.621018
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.573935
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.623959
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.623986
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.735610
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.742793
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.724803
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.689784
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.662632
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.549712
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.320229
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.415791
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.286910
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.282998
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.268396
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.357056
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.322540
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.361303
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.422752
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.375132
(631,682)(360718,406909)(360000,410000)	chr01	385000	53	0.563695
(639,720)(371165,418272)(370000,420000)	chr01	395000	83	0.512959
(658,729)(384248,426178)(380000,430000)	chr01	405000	73	0.579107
(661,729)(399494,426178)(390000,440000)	chr01	415000	70	0.546680
(669,749)(405929,447446)(400000,450000)	chr01	425000	82	0.548968
(683,762)(412909,458510)(410000,460000)	chr01	435000	81	0.535878
(721,762)(422091,458510)(420000,470000)	chr01	445000	43	0.633784
(730,775)(440021,477626)(430000,480000)	chr01	455000	47	0.621457
(730,801)(440021,489540)(440000,490000)	chr01	465000	73	0.594875
(750,812)(458290,497075)(450000,500000)	chr01	475000	64	0.684070
(763,812)(472791,497075)(460000,510000)	chr01	485000	51	0.614637
(763,813)(472791,519445)(470000,520000)	chr01	495000	52	0.614636
(776,834)(482579,527912)(480000,530000)	chr01	505000	60	0.550637
(802,834)(490388,527912)(490000,540000)	chr01	515000	34	0.600394
(813,836)(519445,546039)(500000,550000)	chr01	525000	25	0.604311
(813,843)(519445,556579)(510000,560000)	chr01	535000	32	0.708106
(814,850)(520967,567617)(520000,570000)	chr01	545000	38	0.662055
(835,850)(546012,567617)(530000,580000)	chr01	555000	17	0.738128
(835,850)(546012,567617)(540000,590000)	chr01	565000	17	0.738128
(837,866)(553209,598747)(550000,600000)	chr01	575000	31	0.617717
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.510844
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.647454
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.628215
(851,929)(598538,639995)(590000,640000)	chr01	615000	80	0.668838
(867,933)(608808,647580)(600000,650000)	chr01	625000	68	0.701648
(888,933)(615547,647580)(610000,660000)	chr01	635000	47	0.710599
(894,945)(622726,664539)(620000,670000)	chr01	645000	53	0.577238
(908,1012)(631986,679765)(630000,680000)	chr01	655000	106	0.436248
(930,1018)(640931,687635)(640000,690000)	chr01	665000	90	0.282811
(934,1021)(664341,699440)(650000,700000)	chr01	675000	89	0.300030
(934,1025)(664341,702132)(660000,710000)	chr01	685000	93	0.299933
(946,1035)(670057,710536)(670000,720000)	chr01	695000	91	0.403821
(1013,1064)(687435,726075)(680000,730000)	chr01	705000	53	0.538980
(1019,1097)(699339,736121)(690000,740000)	chr01	715000	80	0.525933
(1022,1103)(702035,749383)(700000,750000)	chr01	725000	83	0.491868
(1026,1106)(710398,754850)(710000,760000)	chr01	735000	82	0.492269
(1036,1117)(720265,768507)(720000,770000)	chr01	745000	83	0.393313
(1065,1124)(730423,774383)(730000,780000)	chr01	755000	61	0.306880
(1098,1125)(749258,780712)(740000,790000)	chr01	765000	29	0.223194
(1104,1125)(751549,780712)(750000,800000)	chr01	775000	23	0.194980
(1107,1129)(768240,800296)(760000,810000)	chr01	785000	24	0.299273
(1118,1159)(771638,819725)(770000,820000)	chr01	795000	43	0.376895
(1125,1161)(780712,824471)(780000,830000)	chr01	805000	38	0.383179
(1126,1202)(800261,839979)(790000,840000)	chr01	815000	78	0.381498
(1126,1203)(800261,849991)(800000,850000)	chr01	825000	79	0.381491
(1130,1208)(816740,852734)(810000,860000)	chr01	835000	80	0.345115
(1160,1211)(824403,860813)(820000,870000)	chr01	845000	53	0.371089
(1162,1217)(830052,877821)(830000,880000)	chr01	855000	57	0.371856
(1203,1229)(849991,888203)(840000,890000)	chr01	865000	28	0.544286
(1204,1244)(852666,898885)(850000,900000)	chr01	875000	42	0.727225
(1209,1244)(860727,898885)(860000,910000)	chr01	885000	37	0.727846
(1212,1274)(876147,916778)(870000,920000)	chr01	895000	64	0.794116
(1218,1301)(881512,929364)(880000,930000)	chr01	905000	85	0.791934
(1230,1305)(890743,936207)(890000,940000)	chr01	915000	77	0.803458
(1245,1338)(911188,949937)(900000,950000)	chr01	925000	95	0.733424
(1245,1351)(911188,952812)(910000,960000)	chr01	935000	108	0.707591
(1275,1359)(921481,969688)(920000,970000)	chr01	945000	86	0.587751
(1302,1409)(933153,979790)(930000,980000)	chr01	955000	109	0.368237
(1306,1429)(941192,981690)(940000,990000)	chr01	965000	125	0.309464
(1339,1445)(951051,994392)(950000,1000000)	chr01	975000	108	0.401982
(1352,1447)(964396,1007159)(960000,1010000)	chr01	985000	97	0.425409
(1360,1483)(972160,1019757)(970000,1020000)	chr01	995000	125	0.388138
(1410,1486)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.370591
(1430,1500)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.367494
(1446,1519)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.366474
(1448,1519)(1010494,1046545)(1010000,1060000)	chr01	1035000	73	0.373013
(1484,1528)(1023745,1060127)(1020000,1070000)	chr01	1045000	46	0.525553
(1487,1528)(1030079,1060127)(1030000,1080000)	chr01	1055000	43	0.548357
(1501,1538)(1040190,1088668)(1040000,1090000)	chr01	1065000	39	0.791290
(1520,1538)(1060081,1088668)(1050000,1100000)	chr01	1075000	20	0.810430
(1520,1543)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.793799
(1529,1546)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.884490
(1529,1556)(1080464,1129684)(1080000,1130000)	chr01	1105000	29	0.879718
(1539,1583)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.548493
(1539,1600)(1106311,1148852)(1100000,1150000)	chr01	1125000	63	0.698534
(1544,1602)(1110213,1156484)(1110000,1160000)	chr01	1135000	60	0.715599
(1547,1630)(1125674,1169984)(1120000,1170000)	chr01	1145000	85	0.734891
(1557,1637)(1131938,1175775)(1130000,1180000)	chr01	1155000	82	0.679365
(1584,1641)(1141378,1187811)(1140000,1190000)	chr01	1165000	59	0.740263
(1601,1648)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.628485
(1603,1656)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.704357
(1631,1670)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.671323
(1638,1670)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.813540
(1642,1689)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.653171
(1649,1693)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.631187
(1657,1693)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.446963
(1671,1697)(1230664,1266942)(1220000,1270000)	chr01	1245000	28	0.379383
(1671,1703)(1230664,1271087)(1230000,1280000)	chr01	1255000	34	0.379886
(1690,1717)(1247842,1287173)(1240000,1290000)	chr01	1265000	29	0.741183
(1694,1718)(1260554,1299829)(1250000,1300000)	chr01	1275000	26	0.798943
(1694,1761)(1260554,1309752)(1260000,1310000)	chr01	1285000	69	0.875425
(1698,1769)(1271029,1311855)(1270000,1320000)	chr01	1295000	73	0.885040
(1704,1773)(1281877,1327006)(1280000,1330000)	chr01	1305000	71	0.904271
(1718,1797)(1299829,1339830)(1290000,1340000)	chr01	1315000	81	0.894088
(1719,1831)(1306965,1348194)(1300000,1350000)	chr01	1325000	114	0.853420
(1762,1835)(1311649,1355827)(1310000,1360000)	chr01	1335000	75	0.789710
(1770,1847)(1326979,1369999)(1320000,1370000)	chr01	1345000	79	0.733069
(1774,1872)(1330096,1376926)(1330000,1380000)	chr01	1355000	100	0.687358
(1798,1874)(1340379,1380434)(1340000,1390000)	chr01	1365000	78	0.623718
(1832,1931)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.518309
(1836,1968)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.497697
(1848,1988)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.443939
(1873,2010)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.371124
(1875,2018)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.399233
(1932,2040)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.378099
(1969,2040)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.430504
(1989,2056)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.521167
(2011,2067)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.494087
(2019,2076)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.461191
(2041,2088)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.410992
(2041,2088)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.410992
(2057,2091)(1470369,1518981)(1470000,1520000)	chr01	1495000	36	0.296702
(2068,2117)(1480472,1528219)(1480000,1530000)	chr01	1505000	51	0.226373
(2077,2123)(1494294,1539114)(1490000,1540000)	chr01	1515000	48	0.244653
(2089,2138)(1518851,1541686)(1500000,1550000)	chr01	1525000	51	0.201140
(2089,2145)(1518851,1559963)(1510000,1560000)	chr01	1535000	58	0.203262
(2092,2150)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.139831
(2118,2160)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.060286
(2124,2172)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.078476
(2139,2190)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.088790
(2146,2209)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.102847
(2151,2230)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.163018
(2161,2242)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.224932
(2173,2242)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.190992
(2191,2272)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.295988
(2210,2296)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.338777
(2231,2315)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.596227
(2243,2347)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.612135
(2243,2359)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.612124
(2273,2367)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.655612
(2297,2371)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.659973
(2316,2372)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.630256
(2348,2385)(1684895,1726909)(1680000,1730000)	chr01	1705000	39	0.661737
(2360,2426)(1694753,1739508)(1690000,1740000)	chr01	1715000	68	0.443002
(2368,2440)(1707516,1747885)(1700000,1750000)	chr01	1725000	74	0.301869
(2372,2456)(1718665,1759177)(1710000,1760000)	chr01	1735000	86	0.163470
(2373,2485)(1726685,1768287)(1720000,1770000)	chr01	1745000	114	0.156907
(2386,2504)(1730802,1778629)(1730000,1780000)	chr01	1755000	120	0.174387
(2427,2515)(1743980,1786148)(1740000,1790000)	chr01	1765000	90	0.202012
(2441,2515)(1750964,1786148)(1750000,1800000)	chr01	1775000	76	0.184955
(2457,2523)(1760369,1809286)(1760000,1810000)	chr01	1785000	68	0.298176
(2486,2560)(1775143,1819814)(1770000,1820000)	chr01	1795000	76	0.696694
(2505,2592)(1785664,1829936)(1780000,1830000)	chr01	1805000	89	0.743546
(2516,2599)(1808990,1834989)(1790000,1840000)	chr01	1815000	85	0.714733
