region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.612289
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.375108
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.412563
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.412544
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.340822
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.465443
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.438467
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.413785
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.429888
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.422209
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.379417
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.403264
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.428683
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.390888
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.358199
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.296416
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.436963
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.426207
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.425115
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.417257
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.390316
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.210367
(389,513)(241035,278351)(230000,280000)	chr01	255000	126	0.208079
(389,537)(241035,286093)(240000,290000)	chr01	265000	150	0.278444
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.316918
(466,564)(267752,305489)(260000,310000)	chr01	285000	100	0.333390
(485,564)(270347,305489)(270000,320000)	chr01	295000	81	0.421335
(514,576)(281515,324273)(280000,330000)	chr01	305000	64	0.431268
(538,602)(291233,339583)(290000,340000)	chr01	315000	66	0.243990
(547,608)(303105,348196)(300000,350000)	chr01	325000	63	0.197729
(565,626)(322110,359771)(310000,360000)	chr01	335000	63	0.143389
(565,634)(322110,360805)(320000,370000)	chr01	345000	71	0.135307
(577,654)(334023,373127)(330000,380000)	chr01	355000	79	0.129858
(603,657)(342750,384275)(340000,390000)	chr01	365000	56	0.118634
(609,664)(356572,399618)(350000,400000)	chr01	375000	57	0.105614
(627,678)(360718,406909)(360000,410000)	chr01	385000	53	0.169321
(635,716)(371165,418272)(370000,420000)	chr01	395000	83	0.193752
(655,725)(384248,426178)(380000,430000)	chr01	405000	72	0.269449
(658,725)(399494,426178)(390000,440000)	chr01	415000	69	0.269452
(665,733)(405929,447272)(400000,450000)	chr01	425000	70	0.311811
(679,746)(412909,458510)(410000,460000)	chr01	435000	69	0.451090
(717,746)(422091,458510)(420000,470000)	chr01	445000	31	0.623922
(726,759)(447168,477626)(430000,480000)	chr01	455000	35	0.534770
(726,780)(447168,489386)(440000,490000)	chr01	465000	56	0.513455
(734,783)(458290,497075)(450000,500000)	chr01	475000	51	0.535576
(747,783)(472791,497075)(460000,510000)	chr01	485000	38	0.411815
(747,784)(472791,519445)(470000,520000)	chr01	495000	39	0.398505
(760,805)(482579,527912)(480000,530000)	chr01	505000	47	0.438608
(781,805)(496996,527912)(490000,540000)	chr01	515000	26	0.369392
(784,807)(519445,546039)(500000,550000)	chr01	525000	25	0.424813
(784,808)(519445,556579)(510000,560000)	chr01	535000	26	0.424065
(785,815)(520967,567617)(520000,570000)	chr01	545000	32	0.474871
(806,815)(546012,567617)(530000,580000)	chr01	555000	11	0.563484
(806,815)(546012,567617)(540000,590000)	chr01	565000	11	0.563484
(808,831)(556579,598747)(550000,600000)	chr01	575000	25	0.530113
(809,852)(567497,609080)(560000,610000)	chr01	585000	45	0.479049
(816,852)(598538,609080)(570000,620000)	chr01	595000	38	0.470596
(816,861)(598538,622801)(580000,630000)	chr01	605000	47	0.408729
(816,883)(598538,639995)(590000,640000)	chr01	615000	69	0.470577
(832,887)(608808,647580)(600000,650000)	chr01	625000	57	0.466625
(853,887)(622726,647580)(610000,660000)	chr01	635000	36	0.496722
(853,891)(622726,664510)(620000,670000)	chr01	645000	40	0.455616
(862,891)(631986,664510)(630000,680000)	chr01	655000	31	0.546234
(884,895)(640931,687537)(640000,690000)	chr01	665000	13	0.361601
(888,898)(664448,699440)(650000,700000)	chr01	675000	12	0.195859
(888,920)(664448,705398)(660000,710000)	chr01	685000	34	0.309427
(892,930)(687435,710536)(670000,720000)	chr01	695000	40	0.305482
(892,965)(687435,726176)(680000,730000)	chr01	705000	75	0.222780
(896,998)(699339,736121)(690000,740000)	chr01	715000	104	0.229388
(899,1004)(702035,749383)(700000,750000)	chr01	725000	107	0.228771
(921,1007)(710398,754850)(710000,760000)	chr01	735000	88	0.168820
(931,1047)(720265,768507)(720000,770000)	chr01	745000	118	0.239485
(966,1054)(730423,774383)(730000,780000)	chr01	755000	90	0.370295
(999,1055)(749258,780712)(740000,790000)	chr01	765000	58	0.439310
(1005,1055)(751549,780712)(750000,800000)	chr01	775000	52	0.446917
(1008,1059)(760149,800296)(760000,810000)	chr01	785000	53	0.465713
(1048,1089)(771638,819725)(770000,820000)	chr01	795000	43	0.530006
(1055,1091)(780712,824471)(780000,830000)	chr01	805000	38	0.476097
(1056,1145)(800261,839979)(790000,840000)	chr01	815000	91	0.371607
(1056,1146)(800261,849991)(800000,850000)	chr01	825000	92	0.370728
(1060,1151)(816740,852734)(810000,860000)	chr01	835000	93	0.365382
(1090,1154)(824403,860813)(820000,870000)	chr01	845000	66	0.275634
(1092,1160)(830052,877821)(830000,880000)	chr01	855000	70	0.319615
(1146,1170)(849991,888203)(840000,890000)	chr01	865000	26	0.464459
(1147,1174)(852666,898885)(850000,900000)	chr01	875000	29	0.452496
(1152,1199)(860727,909640)(860000,910000)	chr01	885000	49	0.544343
(1155,1229)(876147,916778)(870000,920000)	chr01	895000	76	0.434119
(1161,1256)(885300,929364)(880000,930000)	chr01	905000	97	0.408851
(1171,1260)(898756,936207)(890000,940000)	chr01	915000	91	0.414114
(1175,1293)(902874,949937)(900000,950000)	chr01	925000	120	0.381730
(1200,1306)(911188,952812)(910000,960000)	chr01	935000	108	0.334864
(1230,1314)(921481,969688)(920000,970000)	chr01	945000	86	0.353357
(1257,1364)(933153,979790)(930000,980000)	chr01	955000	109	0.407111
(1261,1384)(941192,981690)(940000,990000)	chr01	965000	125	0.382148
(1294,1400)(951051,994392)(950000,1000000)	chr01	975000	108	0.456021
(1307,1402)(964396,1007159)(960000,1010000)	chr01	985000	97	0.478704
(1315,1438)(972160,1019757)(970000,1020000)	chr01	995000	125	0.409670
(1365,1441)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.274450
(1385,1455)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.307823
(1401,1474)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.181042
(1403,1475)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.181441
(1439,1488)(1023745,1066860)(1020000,1070000)	chr01	1045000	51	0.718825
(1442,1488)(1030079,1066860)(1030000,1080000)	chr01	1055000	48	0.719039
(1456,1498)(1040190,1088668)(1040000,1090000)	chr01	1065000	44	0.769179
(1475,1498)(1059222,1088668)(1050000,1100000)	chr01	1075000	25	0.773884
(1476,1503)(1060081,1106471)(1060000,1110000)	chr01	1085000	29	0.725955
(1489,1506)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.618806
(1489,1513)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.613214
(1499,1543)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.393361
(1499,1564)(1106311,1148852)(1100000,1150000)	chr01	1125000	67	0.302948
(1504,1566)(1110213,1156484)(1110000,1160000)	chr01	1135000	64	0.326639
(1507,1594)(1125674,1169984)(1120000,1170000)	chr01	1145000	89	0.301225
(1514,1601)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.275392
(1544,1605)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.206125
(1565,1612)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.334103
(1567,1620)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.320550
(1595,1634)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.398458
(1602,1634)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.461618
(1606,1653)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.420760
