region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.265757
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.154282
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.167893
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.167958
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.138243
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.224073
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.209868
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.211035
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.192706
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.198958
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.143305
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.166329
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.172124
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.198552
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.181067
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.141760
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.072431
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.080567
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.080670
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.068059
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.063860
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.058882
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.039063
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.049906
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.057903
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.058566
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.083417
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.096976
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.172579
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.150454
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.160603
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.153852
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.155755
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.102703
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.095524
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.133772
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.114800
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.139087
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.134883
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.100227
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.097659
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.109952
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.082853
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.142931
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.189936
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.200544
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.199303
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.209643
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.149235
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.151301
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.166526
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.180017
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.201093
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.201093
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.206933
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.268625
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.329014
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.254544
(861,945)(598538,639995)(590000,640000)	chr01	615000	86	0.321382
(877,949)(608808,647580)(600000,650000)	chr01	625000	74	0.323028
(898,949)(615547,647580)(610000,660000)	chr01	635000	53	0.316754
(904,961)(622726,664539)(620000,670000)	chr01	645000	59	0.262260
(918,1028)(631986,679765)(630000,680000)	chr01	655000	112	0.228176
(946,1034)(640931,687635)(640000,690000)	chr01	665000	90	0.168681
(950,1037)(664341,699440)(650000,700000)	chr01	675000	89	0.175847
(950,1059)(664341,705398)(660000,710000)	chr01	685000	111	0.161381
(962,1069)(670057,710536)(670000,720000)	chr01	695000	109	0.146188
(1029,1104)(687435,726176)(680000,730000)	chr01	705000	77	0.206421
(1035,1137)(699339,736121)(690000,740000)	chr01	715000	104	0.168549
(1038,1143)(702035,749383)(700000,750000)	chr01	725000	107	0.167580
(1060,1146)(710398,754850)(710000,760000)	chr01	735000	88	0.185463
(1070,1186)(720265,768507)(720000,770000)	chr01	745000	118	0.191216
(1105,1193)(730423,774383)(730000,780000)	chr01	755000	90	0.126227
(1138,1194)(749258,780712)(740000,790000)	chr01	765000	58	0.160819
(1144,1194)(751549,780712)(750000,800000)	chr01	775000	52	0.162498
(1147,1198)(760149,800296)(760000,810000)	chr01	785000	53	0.148664
(1187,1228)(771638,819725)(770000,820000)	chr01	795000	43	0.091746
(1194,1230)(780712,824471)(780000,830000)	chr01	805000	38	0.096148
(1195,1284)(800261,839979)(790000,840000)	chr01	815000	91	0.089700
(1195,1285)(800261,849991)(800000,850000)	chr01	825000	92	0.089538
(1199,1292)(816740,855718)(810000,860000)	chr01	835000	95	0.097344
(1229,1295)(824403,860813)(820000,870000)	chr01	845000	68	0.079044
(1231,1301)(830052,877821)(830000,880000)	chr01	855000	72	0.078102
(1285,1313)(849991,888203)(840000,890000)	chr01	865000	30	0.117925
(1286,1328)(852666,898885)(850000,900000)	chr01	875000	44	0.134895
(1293,1353)(860727,909640)(860000,910000)	chr01	885000	62	0.122026
(1296,1383)(876147,916778)(870000,920000)	chr01	895000	89	0.101372
(1302,1410)(881512,929364)(880000,930000)	chr01	905000	110	0.087433
(1314,1414)(890743,936207)(890000,940000)	chr01	915000	102	0.068903
(1329,1447)(902874,949937)(900000,950000)	chr01	925000	120	0.093112
(1354,1460)(911188,952812)(910000,960000)	chr01	935000	108	0.090655
(1384,1468)(921481,969688)(920000,970000)	chr01	945000	86	0.093897
(1411,1518)(933153,979790)(930000,980000)	chr01	955000	109	0.068384
(1415,1538)(941192,981690)(940000,990000)	chr01	965000	125	0.069874
(1448,1554)(951051,994392)(950000,1000000)	chr01	975000	108	0.034840
(1461,1556)(964396,1007159)(960000,1010000)	chr01	985000	97	0.031535
(1469,1592)(972160,1019757)(970000,1020000)	chr01	995000	125	0.030443
(1519,1595)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.065086
(1539,1609)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.060679
(1555,1628)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.053504
(1557,1632)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.103759
(1593,1648)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.126043
(1596,1648)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.120050
(1610,1671)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.110898
(1629,1671)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.112107
(1633,1676)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.035084
(1649,1690)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.056297
(1649,1702)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.040502
(1672,1733)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.131690
(1672,1754)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.230383
(1677,1756)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.228649
(1691,1784)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.210129
(1703,1791)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.211657
(1734,1795)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.230400
(1755,1802)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.079965
(1757,1810)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.092138
(1785,1824)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.059331
(1792,1824)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.060593
(1796,1843)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.053701
(1803,1851)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.051785
(1811,1851)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.030461
(1825,1856)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.049806
(1825,1861)(1230664,1271087)(1230000,1280000)	chr01	1255000	38	0.036527
(1844,1876)(1242138,1287173)(1240000,1290000)	chr01	1265000	34	0.083346
(1852,1879)(1260436,1299829)(1250000,1300000)	chr01	1275000	29	0.104630
(1852,1922)(1260436,1309752)(1260000,1310000)	chr01	1285000	72	0.171957
(1857,1930)(1271039,1311855)(1270000,1320000)	chr01	1295000	75	0.204448
(1862,1939)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.235606
(1877,1963)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.186210
(1880,1998)(1306965,1348194)(1300000,1350000)	chr01	1325000	120	0.109986
(1923,2002)(1311649,1355827)(1310000,1360000)	chr01	1335000	81	0.075305
(1931,2014)(1326979,1369999)(1320000,1370000)	chr01	1345000	85	0.051343
(1940,2039)(1330096,1376926)(1330000,1380000)	chr01	1355000	101	0.051130
(1964,2041)(1340379,1380434)(1340000,1390000)	chr01	1365000	79	0.046468
(1999,2098)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.057861
(2003,2135)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.054396
(2015,2155)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.072489
(2040,2177)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.120200
(2042,2185)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.121365
(2099,2207)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.162008
(2136,2207)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.196831
(2156,2223)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.158896
(2178,2234)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.052971
(2186,2243)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.039059
(2208,2255)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.050433
(2208,2255)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.050433
(2224,2258)(1470369,1518981)(1470000,1520000)	chr01	1495000	36	0.058064
(2235,2284)(1480472,1528219)(1480000,1530000)	chr01	1505000	51	0.034630
(2244,2290)(1494294,1539114)(1490000,1540000)	chr01	1515000	48	0.034651
(2256,2305)(1518851,1541686)(1500000,1550000)	chr01	1525000	51	0.026076
(2256,2312)(1518851,1559963)(1510000,1560000)	chr01	1535000	58	0.034007
(2259,2317)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.022362
(2285,2327)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.011869
(2291,2339)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.009853
(2306,2357)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	-0.002707
(2313,2376)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	-0.008502
(2318,2397)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.041753
(2328,2409)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.058285
(2340,2409)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.064036
(2358,2439)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.072489
