region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.219714
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.219714
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.397979
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.397340
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.476939
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.550940
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.657297
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.708828
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.707319
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.726737
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.708509
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.590168
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.588377
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.566456
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.491458
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.535809
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.553249
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.561920
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.557012
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.618110
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.600018
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.663893
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.694388
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.716497
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.733340
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.777500
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.792289
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.805767
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.785524
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.768552
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.706184
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.672919
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.617183
(542,594)(342750,384275)(340000,390000)	chr01	365000	54	0.592151
(548,601)(356572,399618)(350000,400000)	chr01	375000	55	0.546708
(565,610)(360718,406909)(360000,410000)	chr01	385000	47	0.564939
(573,646)(371165,418272)(370000,420000)	chr01	395000	75	0.637319
(592,655)(384248,426178)(380000,430000)	chr01	405000	65	0.633083
(595,655)(399494,426178)(390000,440000)	chr01	415000	62	0.594474
(602,666)(405929,447419)(400000,450000)	chr01	425000	66	0.626168
(611,679)(412986,458510)(410000,460000)	chr01	435000	70	0.678313
(647,679)(422091,458510)(420000,470000)	chr01	445000	34	0.689133
(656,692)(440110,477626)(430000,480000)	chr01	455000	38	0.649736
(656,713)(440110,489386)(440000,490000)	chr01	465000	59	0.679011
(667,716)(458290,497075)(450000,500000)	chr01	475000	51	0.715188
(680,716)(472791,497075)(460000,510000)	chr01	485000	38	0.692979
(680,717)(472791,519445)(470000,520000)	chr01	495000	39	0.681863
(693,738)(482579,527912)(480000,530000)	chr01	505000	47	0.631732
(714,738)(496996,527912)(490000,540000)	chr01	515000	26	0.477082
(717,740)(519445,546039)(500000,550000)	chr01	525000	25	0.345516
(717,747)(519445,556579)(510000,560000)	chr01	535000	32	0.340286
(718,754)(520967,567617)(520000,570000)	chr01	545000	38	0.368718
(739,754)(546012,567617)(530000,580000)	chr01	555000	17	0.394037
(739,754)(546012,567617)(540000,590000)	chr01	565000	17	0.394037
(741,770)(553209,598747)(550000,600000)	chr01	575000	31	0.583768
(748,791)(567497,609080)(560000,610000)	chr01	585000	45	0.554741
(755,797)(598538,615712)(570000,620000)	chr01	595000	44	0.552207
(755,811)(598538,629014)(580000,630000)	chr01	605000	58	0.471948
(755,839)(598538,639995)(590000,640000)	chr01	615000	86	0.603257
(771,841)(608808,647580)(600000,650000)	chr01	625000	72	0.562428
(792,841)(615547,647580)(610000,660000)	chr01	635000	51	0.596124
(798,853)(622726,664539)(620000,670000)	chr01	645000	57	0.561888
(812,920)(631986,679765)(630000,680000)	chr01	655000	110	0.479607
(840,926)(647375,687635)(640000,690000)	chr01	665000	88	0.267451
(842,929)(664341,699440)(650000,700000)	chr01	675000	89	0.272109
(842,947)(664341,705398)(660000,710000)	chr01	685000	107	0.432637
(854,957)(670057,710536)(670000,720000)	chr01	695000	105	0.490137
(921,989)(687435,726075)(680000,730000)	chr01	705000	70	0.672696
(927,1022)(699339,736121)(690000,740000)	chr01	715000	97	0.609881
(930,1028)(702087,749383)(700000,750000)	chr01	725000	100	0.621482
(948,1030)(710398,751567)(710000,760000)	chr01	735000	84	0.588831
(958,1066)(720265,768507)(720000,770000)	chr01	745000	110	0.592373
(990,1071)(730423,774383)(730000,780000)	chr01	755000	83	0.556742
(1023,1072)(749258,780712)(740000,790000)	chr01	765000	51	0.652950
(1029,1072)(751549,780712)(750000,800000)	chr01	775000	45	0.633549
(1031,1076)(760149,800296)(760000,810000)	chr01	785000	47	0.582168
(1067,1106)(774173,819725)(770000,820000)	chr01	795000	41	0.685192
(1072,1108)(780712,824471)(780000,830000)	chr01	805000	38	0.696435
