region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.534114
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.534196
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.444134
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.450730
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.413293
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.366974
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.383483
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.379183
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.375564
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.443709
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.469879
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.470439
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.464346
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.462516
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.588137
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.652869
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.661550
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.676081
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.695615
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.690317
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.670907
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.676121
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.686056
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.642081
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.653036
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.676385
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.641661
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.663121
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.653046
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.663734
(570,635)(334023,373127)(330000,380000)	chr01	355000	67	0.503784
(586,638)(342750,384275)(340000,390000)	chr01	365000	54	0.522452
(592,646)(356572,399618)(350000,400000)	chr01	375000	56	0.419446
(609,654)(360718,406783)(360000,410000)	chr01	385000	47	0.488186
(617,681)(371165,418272)(370000,420000)	chr01	395000	66	0.495620
(636,690)(384248,426178)(380000,430000)	chr01	405000	56	0.518197
(639,690)(399494,426178)(390000,440000)	chr01	415000	53	0.497293
(647,710)(405929,447446)(400000,450000)	chr01	425000	65	0.520177
(655,723)(413073,458510)(410000,460000)	chr01	435000	70	0.523939
(682,723)(422091,458510)(420000,470000)	chr01	445000	43	0.509093
(691,736)(440021,477626)(430000,480000)	chr01	455000	47	0.550132
(691,751)(440021,489540)(440000,490000)	chr01	465000	62	0.476825
(711,762)(458290,497075)(450000,500000)	chr01	475000	53	0.593893
(724,762)(472791,497075)(460000,510000)	chr01	485000	40	0.574587
(724,763)(472791,519445)(470000,520000)	chr01	495000	41	0.572437
(737,775)(482579,525090)(480000,530000)	chr01	505000	40	0.578880
(752,775)(490388,525090)(490000,540000)	chr01	515000	25	0.649409
(763,777)(519445,546039)(500000,550000)	chr01	525000	16	0.516295
(763,778)(519445,556579)(510000,560000)	chr01	535000	17	0.516075
(764,785)(520967,567617)(520000,570000)	chr01	545000	23	0.391585
(776,785)(546012,567617)(530000,580000)	chr01	555000	11	0.122535
(776,785)(546012,567617)(540000,590000)	chr01	565000	11	0.122535
(778,801)(556579,598747)(550000,600000)	chr01	575000	25	0.243568
(779,822)(567497,609080)(560000,610000)	chr01	585000	45	0.216028
(786,828)(598538,615712)(570000,620000)	chr01	595000	44	0.278249
(786,842)(598538,629014)(580000,630000)	chr01	605000	58	0.278850
(786,864)(598538,639995)(590000,640000)	chr01	615000	80	0.281052
(802,868)(608808,647580)(600000,650000)	chr01	625000	68	0.253112
(823,868)(615547,647580)(610000,660000)	chr01	635000	47	0.267451
(829,880)(622726,664539)(620000,670000)	chr01	645000	53	0.443549
(843,947)(631986,679765)(630000,680000)	chr01	655000	106	0.636542
(865,949)(640931,687635)(640000,690000)	chr01	665000	86	0.677875
