region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.444143
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.444411
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.357324
(24,102)(66768,109295)(60000,110000)	chr01	85000	80	0.583230
(31,176)(72927,119227)(70000,120000)	chr01	95000	147	0.478326
(66,201)(99745,121372)(80000,130000)	chr01	105000	137	0.471757
(66,229)(99745,131673)(90000,140000)	chr01	115000	165	0.446900
(68,244)(101120,148599)(100000,150000)	chr01	125000	178	0.420067
(103,269)(112439,159252)(110000,160000)	chr01	135000	168	0.241123
(177,290)(121114,169571)(120000,170000)	chr01	145000	115	0.152514
(202,297)(130856,175991)(130000,180000)	chr01	155000	97	0.167651
(230,300)(146066,183449)(140000,190000)	chr01	165000	72	0.134471
(245,312)(155765,197658)(150000,200000)	chr01	175000	69	0.208368
(270,337)(165376,204116)(160000,210000)	chr01	185000	69	0.547761
(291,371)(175855,216832)(170000,220000)	chr01	195000	82	0.618841
(298,393)(183430,229717)(180000,230000)	chr01	205000	97	0.612099
(301,393)(193065,229717)(190000,240000)	chr01	215000	94	0.623102
(313,433)(202400,249999)(200000,250000)	chr01	225000	122	0.570135
(338,470)(214936,258347)(210000,260000)	chr01	235000	134	0.557296
(372,489)(224519,268043)(220000,270000)	chr01	245000	119	0.476917
(394,518)(241035,278351)(230000,280000)	chr01	255000	126	0.475535
(394,542)(241035,286093)(240000,290000)	chr01	265000	150	0.466472
(434,551)(250021,296664)(250000,300000)	chr01	275000	119	0.493489
(471,573)(267752,307842)(260000,310000)	chr01	285000	104	0.354117
(490,574)(270347,317230)(270000,320000)	chr01	295000	86	0.372101
(519,586)(281515,324273)(280000,330000)	chr01	305000	69	0.326749
(543,606)(291233,339583)(290000,340000)	chr01	315000	65	0.415299
(552,612)(303105,348196)(300000,350000)	chr01	325000	62	0.400603
(574,629)(317230,359771)(310000,360000)	chr01	335000	57	0.456710
(575,637)(322110,360805)(320000,370000)	chr01	345000	64	0.477491
(587,656)(336747,373127)(330000,380000)	chr01	355000	71	0.473787
(607,659)(342750,384275)(340000,390000)	chr01	365000	54	0.430395
(613,667)(356572,399618)(350000,400000)	chr01	375000	56	0.407170
(630,675)(360718,406909)(360000,410000)	chr01	385000	47	0.441144
(638,704)(371165,418272)(370000,420000)	chr01	395000	68	0.399849
(657,713)(384248,426178)(380000,430000)	chr01	405000	58	0.505917
(660,713)(399494,426178)(390000,440000)	chr01	415000	55	0.485621
(668,733)(405929,447446)(400000,450000)	chr01	425000	67	0.502130
(676,746)(412986,458510)(410000,460000)	chr01	435000	72	0.471600
(705,746)(422091,458510)(420000,470000)	chr01	445000	43	0.507418
(714,759)(440021,477626)(430000,480000)	chr01	455000	47	0.443218
(714,761)(440021,482581)(440000,490000)	chr01	465000	49	0.443367
(734,764)(458290,497075)(450000,500000)	chr01	475000	32	0.407685
(747,764)(472791,497075)(460000,510000)	chr01	485000	19	0.600837
(747,765)(472791,519445)(470000,520000)	chr01	495000	20	0.580718
(760,786)(482579,527912)(480000,530000)	chr01	505000	28	0.342202
(762,786)(496996,527912)(490000,540000)	chr01	515000	26	0.340113
(765,788)(519445,546039)(500000,550000)	chr01	525000	25	0.345267
(765,795)(519445,556579)(510000,560000)	chr01	535000	32	0.319542
(766,802)(520967,567617)(520000,570000)	chr01	545000	38	0.335305
(787,802)(546012,567617)(530000,580000)	chr01	555000	17	0.312351
(787,802)(546012,567617)(540000,590000)	chr01	565000	17	0.312351
(789,818)(553209,598747)(550000,600000)	chr01	575000	31	0.322111
(796,839)(567497,609080)(560000,610000)	chr01	585000	45	0.318154
(803,845)(598538,615712)(570000,620000)	chr01	595000	44	0.365947
(803,859)(598538,629014)(580000,630000)	chr01	605000	58	0.586395
(803,887)(598538,639995)(590000,640000)	chr01	615000	86	0.576330
(819,891)(608808,647580)(600000,650000)	chr01	625000	74	0.584765
(840,891)(615547,647580)(610000,660000)	chr01	635000	53	0.613114
(846,903)(622726,664539)(620000,670000)	chr01	645000	59	0.511269
(860,970)(631986,679765)(630000,680000)	chr01	655000	112	0.377692
(888,976)(640931,687635)(640000,690000)	chr01	665000	90	0.351724
(892,979)(664341,699440)(650000,700000)	chr01	675000	89	0.363045
(892,1000)(664341,705398)(660000,710000)	chr01	685000	110	0.364136
(904,1010)(670057,710536)(670000,720000)	chr01	695000	108	0.406235
(971,1045)(687435,726176)(680000,730000)	chr01	705000	76	0.322153
(977,1078)(699339,736121)(690000,740000)	chr01	715000	103	0.214317
(980,1084)(702087,749383)(700000,750000)	chr01	725000	106	0.199351
(1001,1087)(710398,754850)(710000,760000)	chr01	735000	88	0.170324
(1011,1127)(720265,768507)(720000,770000)	chr01	745000	118	0.233322
(1046,1134)(730423,774383)(730000,780000)	chr01	755000	90	0.276377
(1079,1135)(749258,780712)(740000,790000)	chr01	765000	58	0.414236
(1085,1135)(751549,780712)(750000,800000)	chr01	775000	52	0.428184
(1088,1139)(760149,800296)(760000,810000)	chr01	785000	53	0.429158
(1128,1169)(771638,819725)(770000,820000)	chr01	795000	43	0.353678
(1135,1171)(780712,824471)(780000,830000)	chr01	805000	38	0.319245
(1136,1223)(800261,839943)(790000,840000)	chr01	815000	89	0.177966
(1136,1224)(800261,849991)(800000,850000)	chr01	825000	90	0.177937
(1140,1231)(816740,855718)(810000,860000)	chr01	835000	93	0.225797
(1170,1234)(824403,860813)(820000,870000)	chr01	845000	66	0.213314
(1172,1240)(830052,877821)(830000,880000)	chr01	855000	70	0.240498
(1224,1252)(849991,888203)(840000,890000)	chr01	865000	30	0.508694
(1225,1263)(852666,898885)(850000,900000)	chr01	875000	40	0.662621
(1232,1288)(860727,909640)(860000,910000)	chr01	885000	58	0.649914
(1235,1318)(876147,916778)(870000,920000)	chr01	895000	85	0.538933
(1241,1345)(881512,929364)(880000,930000)	chr01	905000	106	0.464129
(1253,1349)(892660,936207)(890000,940000)	chr01	915000	98	0.444000
(1264,1382)(902874,949937)(900000,950000)	chr01	925000	120	0.292218
(1289,1395)(911188,952812)(910000,960000)	chr01	935000	108	0.237330
(1319,1403)(921481,969688)(920000,970000)	chr01	945000	86	0.227420
(1346,1453)(933153,979790)(930000,980000)	chr01	955000	109	0.390317
(1350,1473)(941192,981690)(940000,990000)	chr01	965000	125	0.390359
(1383,1489)(951051,994392)(950000,1000000)	chr01	975000	108	0.575027
(1396,1491)(964396,1007159)(960000,1010000)	chr01	985000	97	0.613357
(1404,1527)(972160,1019757)(970000,1020000)	chr01	995000	125	0.643690
(1454,1530)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.703940
(1474,1544)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.788455
(1490,1562)(1007148,1046477)(1000000,1050000)	chr01	1025000	74	0.795019
(1492,1566)(1010494,1059378)(1010000,1060000)	chr01	1035000	76	0.792872
(1528,1582)(1023745,1067383)(1020000,1070000)	chr01	1045000	56	0.847016
(1531,1582)(1030079,1067383)(1030000,1080000)	chr01	1055000	53	0.848166
(1545,1605)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.739905
(1563,1605)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.576808
(1567,1610)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.552458
(1583,1624)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.505614
