region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.580695
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.555686
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.465996
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.629850
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.631190
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.661761
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.669149
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.645372
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.589427
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.498996
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.514396
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.402799
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.410961
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.676995
(289,369)(175855,216832)(170000,220000)	chr01	195000	82	0.780367
(296,391)(183430,229717)(180000,230000)	chr01	205000	97	0.792679
(299,391)(193065,229717)(190000,240000)	chr01	215000	94	0.799215
(311,431)(202400,249999)(200000,250000)	chr01	225000	122	0.803524
(336,468)(214936,258347)(210000,260000)	chr01	235000	134	0.762419
(370,487)(224519,268043)(220000,270000)	chr01	245000	119	0.629911
(392,516)(241035,278351)(230000,280000)	chr01	255000	126	0.565603
(392,540)(241035,286093)(240000,290000)	chr01	265000	150	0.547785
(432,549)(250021,296664)(250000,300000)	chr01	275000	119	0.437524
(469,571)(267752,307842)(260000,310000)	chr01	285000	104	0.291860
(488,572)(270347,317230)(270000,320000)	chr01	295000	86	0.381993
(517,584)(281515,324273)(280000,330000)	chr01	305000	69	0.406491
(541,604)(291233,339583)(290000,340000)	chr01	315000	65	0.623691
(550,610)(303105,348196)(300000,350000)	chr01	325000	62	0.647188
(572,627)(317230,359771)(310000,360000)	chr01	335000	57	0.704268
(573,635)(322110,360805)(320000,370000)	chr01	345000	64	0.713167
(585,655)(336747,373127)(330000,380000)	chr01	355000	72	0.740202
(605,658)(342750,384275)(340000,390000)	chr01	365000	55	0.713908
(611,666)(356572,399618)(350000,400000)	chr01	375000	57	0.665341
(628,674)(360718,406909)(360000,410000)	chr01	385000	48	0.690900
(636,703)(371165,418272)(370000,420000)	chr01	395000	69	0.628278
(656,712)(384248,426178)(380000,430000)	chr01	405000	58	0.579114
(659,712)(399494,426178)(390000,440000)	chr01	415000	55	0.537421
(667,732)(405929,447446)(400000,450000)	chr01	425000	67	0.501043
(675,745)(412986,458510)(410000,460000)	chr01	435000	72	0.379166
(704,745)(422091,458510)(420000,470000)	chr01	445000	43	0.269848
(713,755)(440021,476556)(430000,480000)	chr01	455000	44	0.165036
(713,757)(440021,482581)(440000,490000)	chr01	465000	46	0.225596
(733,760)(458290,497075)(450000,500000)	chr01	475000	29	0.241500
(746,760)(472791,497075)(460000,510000)	chr01	485000	16	0.400811
(746,761)(472791,519445)(470000,520000)	chr01	495000	17	0.491151
(756,782)(482579,527912)(480000,530000)	chr01	505000	28	0.407515
(758,782)(496996,527912)(490000,540000)	chr01	515000	26	0.371286
(761,784)(519445,546039)(500000,550000)	chr01	525000	25	0.381277
(761,791)(519445,556579)(510000,560000)	chr01	535000	32	0.415639
(762,798)(520967,567617)(520000,570000)	chr01	545000	38	0.349880
(783,798)(546012,567617)(530000,580000)	chr01	555000	17	0.401983
(783,798)(546012,567617)(540000,590000)	chr01	565000	17	0.401983
(785,814)(553209,598747)(550000,600000)	chr01	575000	31	0.421385
(792,835)(567497,609080)(560000,610000)	chr01	585000	45	0.316885
(799,841)(598538,615712)(570000,620000)	chr01	595000	44	0.404050
(799,855)(598538,629014)(580000,630000)	chr01	605000	58	0.521644
(799,883)(598538,639995)(590000,640000)	chr01	615000	86	0.555049
(815,887)(608808,647580)(600000,650000)	chr01	625000	74	0.598206
(836,887)(615547,647580)(610000,660000)	chr01	635000	53	0.690713
(842,898)(622726,664539)(620000,670000)	chr01	645000	58	0.641590
(856,965)(631986,679765)(630000,680000)	chr01	655000	111	0.567423
(884,971)(640931,687635)(640000,690000)	chr01	665000	89	0.573401
(888,974)(664365,699440)(650000,700000)	chr01	675000	88	0.559290
(888,995)(664365,705398)(660000,710000)	chr01	685000	109	0.533843
(899,1005)(670057,710536)(670000,720000)	chr01	695000	108	0.521240
(966,1040)(687435,726176)(680000,730000)	chr01	705000	76	0.474688
(972,1073)(699339,736121)(690000,740000)	chr01	715000	103	0.370397
(975,1079)(702087,749383)(700000,750000)	chr01	725000	106	0.345939
(996,1082)(710398,754850)(710000,760000)	chr01	735000	88	0.332343
(1006,1122)(720265,768507)(720000,770000)	chr01	745000	118	0.338713
(1041,1129)(730423,774383)(730000,780000)	chr01	755000	90	0.272263
(1074,1130)(749258,780712)(740000,790000)	chr01	765000	58	0.283833
(1080,1130)(751549,780712)(750000,800000)	chr01	775000	52	0.301086
(1083,1134)(760149,800296)(760000,810000)	chr01	785000	53	0.383161
(1123,1164)(771638,819725)(770000,820000)	chr01	795000	43	0.387484
(1130,1166)(780712,824471)(780000,830000)	chr01	805000	38	0.404170
(1131,1218)(800261,839943)(790000,840000)	chr01	815000	89	0.397169
(1131,1219)(800261,849991)(800000,850000)	chr01	825000	90	0.397111
(1135,1226)(816740,855718)(810000,860000)	chr01	835000	93	0.379623
(1165,1229)(824403,860813)(820000,870000)	chr01	845000	66	0.408120
(1167,1235)(830052,877821)(830000,880000)	chr01	855000	70	0.415613
(1219,1247)(849991,888203)(840000,890000)	chr01	865000	30	0.523904
(1220,1258)(852666,898885)(850000,900000)	chr01	875000	40	0.646170
(1227,1283)(860727,909640)(860000,910000)	chr01	885000	58	0.536658
(1230,1313)(876147,916778)(870000,920000)	chr01	895000	85	0.457701
(1236,1340)(881512,929364)(880000,930000)	chr01	905000	106	0.430285
(1248,1344)(892660,936207)(890000,940000)	chr01	915000	98	0.408897
(1259,1377)(902874,949937)(900000,950000)	chr01	925000	120	0.349879
(1284,1390)(911188,952812)(910000,960000)	chr01	935000	108	0.333711
(1314,1398)(921481,969688)(920000,970000)	chr01	945000	86	0.399960
(1341,1448)(933153,979790)(930000,980000)	chr01	955000	109	0.442554
(1345,1468)(941192,981690)(940000,990000)	chr01	965000	125	0.424589
(1378,1484)(951051,994392)(950000,1000000)	chr01	975000	108	0.436436
(1391,1486)(964396,1007159)(960000,1010000)	chr01	985000	97	0.453114
(1399,1522)(972160,1019757)(970000,1020000)	chr01	995000	125	0.415853
(1449,1525)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.346056
(1469,1539)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.360245
(1485,1558)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.391098
(1487,1562)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.389243
(1523,1574)(1023745,1067383)(1020000,1070000)	chr01	1045000	53	0.570638
(1526,1574)(1030079,1067383)(1030000,1080000)	chr01	1055000	50	0.602181
(1540,1597)(1040190,1088668)(1040000,1090000)	chr01	1065000	59	0.629852
(1559,1597)(1059222,1088668)(1050000,1100000)	chr01	1075000	40	0.643218
