region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.680064
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.573189
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.450966
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.421578
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.362236
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.439760
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.412942
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.409639
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.399583
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.373225
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.436642
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.575903
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.618609
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.685744
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.727699
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.708587
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.624164
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.591812
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.568225
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.657955
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.673632
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.656624
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.657030
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.630444
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.467803
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.451636
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.535899
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.575095
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.665731
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.656338
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.656348
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.636928
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.655233
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.636135
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.624497
(632,679)(360718,406783)(360000,410000)	chr01	385000	49	0.686062
(640,706)(371165,418272)(370000,420000)	chr01	395000	68	0.640873
(659,715)(399494,426178)(380000,430000)	chr01	405000	58	0.670331
(659,715)(399494,426178)(390000,440000)	chr01	415000	58	0.670331
(667,717)(405929,447272)(400000,450000)	chr01	425000	52	0.693934
(680,717)(413073,447272)(410000,460000)	chr01	435000	39	0.602215
(707,717)(422091,447272)(420000,470000)	chr01	445000	12	0.765286
(716,730)(447245,477626)(430000,480000)	chr01	455000	16	0.558085
(716,751)(447245,489386)(440000,490000)	chr01	465000	37	0.747728
(718,762)(472791,497075)(450000,500000)	chr01	475000	46	0.778612
(718,762)(472791,497075)(460000,510000)	chr01	485000	46	0.778612
(718,763)(472791,519445)(470000,520000)	chr01	495000	47	0.753961
(731,775)(482579,525090)(480000,530000)	chr01	505000	46	0.823241
(752,775)(490388,525090)(490000,540000)	chr01	515000	25	0.786224
(763,777)(519445,546039)(500000,550000)	chr01	525000	16	0.744960
(763,778)(519445,556579)(510000,560000)	chr01	535000	17	0.744128
(764,785)(520967,567617)(520000,570000)	chr01	545000	23	0.669315
(776,785)(546012,567617)(530000,580000)	chr01	555000	11	0.253566
(776,785)(546012,567617)(540000,590000)	chr01	565000	11	0.253566
(778,801)(556579,598747)(550000,600000)	chr01	575000	25	0.246132
(779,822)(567497,609080)(560000,610000)	chr01	585000	45	0.217111
(786,827)(598538,615712)(570000,620000)	chr01	595000	43	0.322770
