region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.477900
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.390084
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.370277
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.370369
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.294701
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.482913
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.476698
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.459732
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.457801
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.463385
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.397071
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.348682
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.378964
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.405650
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.382995
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.477341
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.688471
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.661794
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.650368
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.572430
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.522318
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.268485
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.225908
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.216230
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.285255
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.283266
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.339787
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.353121
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.359150
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.315952
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.385468
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.367346
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.387975
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.436273
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.391652
(632,679)(360718,406783)(360000,410000)	chr01	385000	49	0.214577
(640,706)(371165,418272)(370000,420000)	chr01	395000	68	0.123272
(659,715)(399494,426178)(380000,430000)	chr01	405000	58	0.307950
(659,715)(399494,426178)(390000,440000)	chr01	415000	58	0.307950
(667,717)(405929,447272)(400000,450000)	chr01	425000	52	0.338571
(680,717)(413073,447272)(410000,460000)	chr01	435000	39	0.361482
(707,717)(422091,447272)(420000,470000)	chr01	445000	12	0.771773
(716,730)(447245,477626)(430000,480000)	chr01	455000	16	0.370489
(716,751)(447245,489386)(440000,490000)	chr01	465000	37	0.665306
(718,762)(472791,497075)(450000,500000)	chr01	475000	46	0.651159
