region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.339538
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.246086
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.230332
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.229813
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.188545
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.384038
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.362885
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.380545
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.356267
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.384710
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.332101
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.414634
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.431723
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.477653
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.428476
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.348393
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.266654
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.226787
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.225952
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.184592
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.182977
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.090308
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.118194
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.142566
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.159312
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.153982
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.197327
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.194309
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.292032
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.326056
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.328954
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.321856
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.324015
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.253757
(623,677)(356572,399618)(350000,400000)	chr01	375000	56	0.209911
(641,691)(360718,406909)(360000,410000)	chr01	385000	52	0.245001
(649,729)(371165,418272)(370000,420000)	chr01	395000	82	0.255971
(668,738)(384248,426178)(380000,430000)	chr01	405000	72	0.372868
(671,738)(399494,426178)(390000,440000)	chr01	415000	69	0.373409
(678,758)(405929,447446)(400000,450000)	chr01	425000	82	0.277277
(692,771)(412909,458510)(410000,460000)	chr01	435000	81	0.273637
(730,771)(422091,458510)(420000,470000)	chr01	445000	43	0.279431
(739,784)(440021,477626)(430000,480000)	chr01	455000	47	0.225538
(739,805)(440021,489386)(440000,490000)	chr01	465000	68	0.411193
(759,808)(458290,497075)(450000,500000)	chr01	475000	51	0.544031
(772,808)(472791,497075)(460000,510000)	chr01	485000	38	0.614326
(772,809)(472791,519445)(470000,520000)	chr01	495000	39	0.605532
(785,830)(482579,527912)(480000,530000)	chr01	505000	47	0.567124
(806,830)(496996,527912)(490000,540000)	chr01	515000	26	0.402699
(809,832)(519445,546039)(500000,550000)	chr01	525000	25	0.405248
(809,839)(519445,556579)(510000,560000)	chr01	535000	32	0.451158
(810,846)(520967,567617)(520000,570000)	chr01	545000	38	0.438075
(831,846)(546012,567617)(530000,580000)	chr01	555000	17	0.485494
(831,846)(546012,567617)(540000,590000)	chr01	565000	17	0.485494
(833,862)(553209,598747)(550000,600000)	chr01	575000	31	0.404543
(840,883)(567497,609080)(560000,610000)	chr01	585000	45	0.353687
(847,889)(598538,615712)(570000,620000)	chr01	595000	44	0.366932
(847,903)(598538,629014)(580000,630000)	chr01	605000	58	0.294765
(847,931)(598538,639995)(590000,640000)	chr01	615000	86	0.283259
(863,935)(608808,647580)(600000,650000)	chr01	625000	74	0.333110
(884,935)(615547,647580)(610000,660000)	chr01	635000	53	0.306462
(890,947)(622726,664539)(620000,670000)	chr01	645000	59	0.235851
(904,1014)(631986,679765)(630000,680000)	chr01	655000	112	0.173999
(932,1020)(640931,687635)(640000,690000)	chr01	665000	90	0.165748
(936,1023)(664341,699440)(650000,700000)	chr01	675000	89	0.103001
(936,1037)(664341,705398)(660000,710000)	chr01	685000	103	0.122393
(948,1047)(670057,710536)(670000,720000)	chr01	695000	101	0.250824
(1015,1082)(687435,726176)(680000,730000)	chr01	705000	69	0.539109
(1021,1115)(699339,736121)(690000,740000)	chr01	715000	96	0.469814
(1024,1121)(702035,749383)(700000,750000)	chr01	725000	99	0.473308
(1038,1124)(710398,754850)(710000,760000)	chr01	735000	88	0.485290
(1048,1164)(720265,768507)(720000,770000)	chr01	745000	118	0.515565
(1083,1171)(730423,774383)(730000,780000)	chr01	755000	90	0.477685
(1116,1172)(749258,780712)(740000,790000)	chr01	765000	58	0.606038
(1122,1172)(751549,780712)(750000,800000)	chr01	775000	52	0.614450
(1125,1176)(760149,800296)(760000,810000)	chr01	785000	53	0.623584
(1165,1206)(771638,819725)(770000,820000)	chr01	795000	43	0.486269
(1172,1208)(780712,824471)(780000,830000)	chr01	805000	38	0.455607
