region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.251827
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.167380
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.148222
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.148097
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.130152
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.266338
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.230051
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.256130
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.226622
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.208087
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.097822
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.116907
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.105706
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.130098
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.160902
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.289653
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.169106
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.183953
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.184003
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.169827
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.081214
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.097913
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.108055
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.116577
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.141678
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.136364
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.192469
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.143076
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.128115
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.146416
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.134687
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.120414
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.110093
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.107583
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.074796
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.071405
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.084892
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.096882
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.099375
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.258687
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.279729
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.371781
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.348835
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.360641
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.329896
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.344307
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.338818
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.300871
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.243766
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.252889
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.486864
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.402209
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.543133
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.543133
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.439588
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.243467
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.368939
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.283236
(861,945)(598538,639995)(590000,640000)	chr01	615000	86	0.397578
(877,949)(608808,647580)(600000,650000)	chr01	625000	74	0.396127
(898,949)(615547,647580)(610000,660000)	chr01	635000	53	0.416645
(904,961)(622726,664539)(620000,670000)	chr01	645000	59	0.437926
(918,1028)(631986,679765)(630000,680000)	chr01	655000	112	0.577417
(946,1034)(640931,687635)(640000,690000)	chr01	665000	90	0.549128
(950,1037)(664341,699440)(650000,700000)	chr01	675000	89	0.565054
(950,1059)(664341,705398)(660000,710000)	chr01	685000	111	0.529006
(962,1069)(670057,710536)(670000,720000)	chr01	695000	109	0.495258
(1029,1104)(687435,726176)(680000,730000)	chr01	705000	77	0.156054
(1035,1137)(699339,736121)(690000,740000)	chr01	715000	104	0.118534
